PMID	Target	Intervention	Effect on gene product	Model	Susceptibility observed	Inferred gene effect	Delivery	Species	pub_date	LastAuthor
27052304	MTOR	Torin 1	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Rabbit	2016 Apr 6	Meng H
27147707	BATF	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2016 May 4	Chun JS
27147707	JUN	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2016 May 4	Chun JS
27183574	IL3	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2016 May 13	Wani MR
27301478	MTOR	Torin 1	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Rabbit	2016 Jun	Cui YP
27322244	CXCR4	AMD3100	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Mouse	2016 Jun 16	Chen A
27345362	CALCA	Protein	exogenous	Surgical - ACLT	Protective	Protective	systemic	Rat	2016 Jun 27	Jean YH
27447821	mir-142-3p	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2016 Oct	Yu H
27473558	FGF9	Protein	exogenous	Surgical - DMM	Ambiguous	Ambiguous	Articular cavity	Mouse	2016 Jul 27	Chen L
27477830	LCN2	Viral	Overexpression	Surgical - DMM	No effect	No effect	Articular cavity	Mouse	2016 Jul 29	Chun JS
27480933	FBXO32	Viral	Overexpression	Surgical - DMM	No effect	No effect	Articular cavity	Mouse	2016 Jul 30	Chun JS
27539076	IL1RN	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2016 Aug 19	D'Souza G
27539752	EZH2	EPZ005687	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2016 Aug 19	Li F
27681622	RELA	sirna	Knockdown	Surgical - Injury	Protective	Detrimental	Articular cavity	Mouse	2016 Sep 28	Pham CT
27690009	CXCR4	AMD3100	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Rat	2016 Sep 29	Chen A
27789465	IL6R	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2016 Oct 27	Richette P
27851984	GDF5	Protein	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Rat	2016 Nov 13	Story B
27856294	CCR2	RS504393	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2016 Nov 14	Spagnoli A
27965260	CCL2	bindarit	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2016 Dec 13	Robinson WH
27965260	CCR2	RS-504393	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2016 Dec 13	Robinson WH
28120109	ADAMTS5	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Jan 24	Sasho T
28120109	MMP13	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Jan 24	Sasho T
28129516	PRG4	Protein	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Rat	2017 Jan 27	Fleming BC
28139355	mir-483-5p	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2017 Jan 27	Bai X
28165497	WNT7A	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2017 Feb 6	Zeng L
28314754	KDM6B	Viral	Knockdown	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2017 Mar 17	Ouyang H
28420447	BMPR1A	CK2.1	Activation	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2017 Apr 18	Nohe A
28426699	IL20	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Apr 20	Chang MS
28464560	ST14	Compound 59	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Jul 5	Rowan AD
28464560	ST14	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2017 Jul 5	Rowan AD
28544596	PTGDR	BW245C	Activation	Surgical - DMM	Protective	Protective	systemic	Mouse	2017 Aug 1	Fahmi H
28620193	mir-29a	Injection	Overexpression	Collagenase	Protective	Protective	Articular cavity	Mouse	2017 Jun 15	Wang FS
28627522	DOT1L	EPZ-5676	Inhibition	Spontaneous	Detrimental	Protective	Articular cavity	Mouse	2017 Jun 19	Lories RJ
28647469	mir-140	agomir	Overexpression	Surgical - ACLT+ MM	Protective	Protective	Articular cavity	Rat	2017 Jun 21	Shen B
28648299	TNFSF11	OP3-4	Activation	MIA	Protective	Protective	Articular cavity	Mouse	2017 Jun 13	Aoki K
28743292	A2M	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2017 Jul 25	Wei L
28757192	EGFR	gefitinib	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Rabbit	2017 Jul 28	Ouyang H
28823646	LEPR	shRNA	Knockdown	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rat	2017 Aug 18	Li J
28844955	BRD2	JQ1	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2017 Aug 24	Ma J
28844955	BRD3	JQ1	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2017 Aug 24	Ma J
28844955	BRD4	JQ1	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2017 Aug 24	Ma J
28919376	mir-218-5p	inhibitor	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Aug 19	Im HJ
29026147	VEGFA	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Oct 12	Olsen BR
29026147	KDR	vandetanib	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Oct 12	Olsen BR
29068480	PHLPP1	NSC117079	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Nov 28	Westendorf JJ
29068480	PHLPP2	NSC117079	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Nov 28	Westendorf JJ
29070587	GHRL	Protein	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2018 Jan 3	Zhao Y
29205898	PTGS2	celecoxib	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rabbit	2017 Dec 5	Jeong KS
29219023	TNC	Protein	exogenous	Surgical - DMM + ACLT	Protective	Protective	Articular cavity	Mouse	2016 Dec 4	Sudo A
29247173	ESRRG	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2017 Dec 15	Chun JS
29247173	ESRRG	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2017 Dec 15	Chun JS
29247173	ESRRG	GSK5182	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2017 Dec 15	Chun JS
29257344	GGCX	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Rabbit	2017 Dec 18	Yin M
29314205	CDC42	ZCL278	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Feb 15	Wu X
29329496	VEGFA	bevacizumab	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Mar 24	Bai X
29415892	AXIN2	XAV-939	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Feb 8	Young PP
29415892	TNKS	XAV-939	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Feb 8	Young PP
29436471	IL6ST	RCGD 423	Activation	Surgical - MM	Protective	Protective	Articular cavity	Mouse	2018 Feb 7	Evseenko D
29440889	IHH	siRNA	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rat	2018 Jan 31	Wei L
29474860	NR1D1	SR9009	Inhibition	Surgical - MM	Protective	Detrimental	systemic	Mouse	2018 Feb 20	Im HJ
29476740	JUN	T-5224	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2018 Feb 21	Kimura T
29488610	VEGFA	Protein	exogenous	Surgical - ACLT	Detrimental	Detrimental	Articular cavity	Rat	2018 Feb 28	Weng JQ
29523155	CTSK	MIV-711	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rabbit	2018 Mar 9	Grabowska U
29523155	CTSK	MIV-711	Inhibition	Surgical - MM	Protective	Detrimental	Articular cavity	Dog	2018 Mar 9	Grabowska U
29524442	MAPK14	PH-797804	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Mar 7	Allémann E
29549054	FABP4	BMS309403	Inhibition	High Fat Diet	Protective	Detrimental	systemic	Mouse	2018 Mar 13	Yan CH
29555825	FYN	PP1	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2018 Mar 19	Bai X
