ID	OAvsPreserved_logFC	OAvsPreserved_padjFilter
ACAD9	0.0791722615464625	0.198654109811378
ACADL	-0.00440122864001324	NA
ACADM	0.0872276774983263	0.481551308335699
ACADM	-0.050492440343211	0.369135930858063
ACADS	0.0406234253943776	0.339683142856852
ACADSB	0.0317766470731549	NA
ACADVL	0.0980701893120379	0.369247551320263
ACADVL	-0.0195241499042904	0.864043094088859
ACADVL	0.0727688797033004	0.598266732004538
ACAN	-0.318481776095862	0.170710653166445
ACAP1	-0.0459996063189552	NA
ACAP3	0.0190504604999466	NA
ACAT1	-0.125387824106516	0.087127915979636
ACAT2	0.00758754931648031	NA
ACAT2	0.0760817166198517	0.216562216379788
ACBD3	-0.0259827889063988	0.862733858166538
ACBD4	0.00320630681932776	NA
ACBD5	0.0122163254835694	NA
ACBD5	-0.0409672069752505	NA
ACBD5	-0.00826893724762989	NA
ACBD6	-0.0415538133953532	0.592997482820929
ACBD7	0.00886558431879614	NA
ACBD7	0.00523682236798795	NA
ACCN1	-0.00321756904993098	NA
ACCN1	0.0030543559424423	NA
ACCN2	-0.151238816853271	0.00130930545458965
ACCN2	0.0348900195414776	NA
ACCN3	-0.0247693893988936	NA
ACCN3	-0.054724955032512	NA
ACCN4	-0.0240135592635147	NA
ACCN4	-0.0102192806988688	NA
ACCN4	-0.0148338317791152	NA
ACCN5	-0.0284526492103252	NA
ACCSL	0.000368587940172027	NA
ACD	-0.0823451813497513	0.20485045583602
ACE	-0.012958675012781	NA
ACE	-0.0178551322792968	NA
ACE	0.00186890456457789	0.98074046183965
ACE2	-0.00741937494642997	NA
ACER1	0.000929614063466921	NA
ACER2	0.0100500548816038	NA
ACHE	0.0122352361758313	NA
ACHE	0.0206435598557855	NA
ACHE	-0.0130087877306364	NA
ACIN1	-0.0652209926720762	0.592040185988372
ACLY	-0.00282027312749733	0.983373972875761
ACLY	0.143414688658945	0.208658818928322
ACMSD	-0.0171456540414257	NA
ACN9	-0.0190599775284763	0.85182138794029
ACN9	-0.122635770152325	0.0404711663018639
ACO1	-0.0382665669193418	0.554758694802781
ACO2	0.051687671988411	0.430703181678481
ACOT1	-0.00471442069723782	NA
ACOT1	-0.0198112938567441	0.801616602925497
ACOT11	-0.0927777816223374	0.0177848093345509
ACOT11	0.0160517013410262	NA
ACOT12	0.03710599861527	NA
ACOT2	-0.0345828005287441	NA
ACOT2	-0.0460395223724444	0.516138470310635
ACOT4	0.0349280611171991	0.614269512272492
ACOT6	0.0260254106431423	NA
ACOT7	0.030496381876068	NA
ACOT7	-0.0485665280129881	0.350142448314058
ACOT7	-0.0010704989139354	NA
ACOT7	0.279308648463335	0.000920278195696822
ACOT7	-0.0366381248642504	NA
ACOT7	0.319888217501743	7.70703094683322e-05
ACOT7	0.0635842799155535	NA
ACOT8	-0.00566479673508447	0.915529319653985
ACOT9	-0.0326647607992587	0.505300458631429
ACOT9	0.128938225393039	0.0570666552493036
ACOX1	0.0153630318135862	0.811147081113887
ACOX1	-0.0374056994145215	NA
ACOX1	0.0011255060918538	NA
ACOX2	-0.0860085913483628	NA
ACOX3	0.030103687359075	0.382746384310648
ACOXL	-0.0260378866927429	NA
ACP1	-0.00138781811990363	0.993084501330361
ACP1	0.201334579821088	0.0497820265252048
ACP2	0.0771526090677348	0.277160546950284
ACP5	-0.133767825477753	0.586492467793742
ACP6	-0.0849925796494606	0.0471104044034393
ACPL2	0.335445799248934	0.025364316168495
ACPL2	0.34173873239507	0.0140776857426854
ACPP	-0.00946408882318117	NA
ACPT	-0.000866347162615355	0.991777078697821
ACPT	-0.00687739763917516	NA
ACR	0.00669785338409046	NA
ACRBP	0.0126628943047269	NA
ACRC	0.0346011226117922	0.498336565871842
ACRV1	-0.00150587273374647	NA
ACRV1	0.00455497225052603	NA
ACSBG1	-0.0179123046605767	NA
ACSBG2	-0.0016387124790409	NA
ACSF3	-0.0258703071519459	NA
ACSL1	-0.019286989550455	NA
ACSL3	-0.0117061315169469	0.950543391986033
ACSL3	-0.0295040131805973	NA
ACSL3	-0.0113321198830256	0.933897804092996
ACSL4	-0.0353579415960059	NA
ACSL4	-0.0371119623834097	0.463477757409382
ACSL4	0.0195708910718118	0.753507906011487
ACSL4	-0.0345555787144924	0.706445628514565
ACSL5	-0.0111594128183343	NA
ACSL5	-0.0183062114623409	0.771845390038145
ACSL5	-0.00842607610624935	NA
ACSL5	-0.0399777809524897	0.380968790407589
ACSL5	-0.0809403817568128	0.13141711828554
ACSL6	-0.0112702926953698	NA
ACSL6	0.00297009820170047	NA
ACSL6	0.0163258415582535	NA
ACSL6	-0.0135944019442427	NA
ACSM1	-0.0081071351022155	NA
ACSM2A	0.0165821665371615	NA
ACSM2B	0.00849241971533665	NA
ACSM2B	-0.00461996715994406	NA
ACSM2B	0.0402196081156747	NA
ACSM3	0.0100338662364825	0.892885315684776
ACSM3	-0.00891108593359569	NA
