gene_name	InjuryReconstruct.Day28vsInjury.Day28_log2FoldChange	InjuryReconstruct.Day28vsInjury.Day28_padj
LRTM2	-0.593874194240951	1
HDHD5	0.322988732402218	1
IL17RA	-0.129638970868574	1
CECR2	0.161861956601204	1
ATP6V1E1	-0.0431058190064547	1
BID	-0.00641522837123077	1
MICAL3	0.738220461808597	0.759828401113652
TUBA8	0.0580656696946392	1
USP18	0.648993836364641	1
	NA	NA
CPNE8	0.000124748835376044	1
KIF21A	0.0379766845035457	1
ABCD2	0.153624239352152	1
	0	1
SLC2A13	0.183207081634271	1
LRRK2	0.0407402897247098	1
CNTN1	-0.51512633062337	1
PDZRN4	-1.0362635819443	0.94142449754152
PPHLN1	-0.0608376148886186	1
ADAMTS20	0.545850342406354	1
TWF1	0.0597067130068372	1
IRAK4	-0.515363842564869	0.607432848907285
PUS7L	-0.22894042073801	1
TMEM117	-0.197912990873489	1
NELL2	0.107672813277164	1
ANO6	0.392852682688094	1
SCAF11	0.0450054828094797	1
SLC38A1	0.213014396945826	1
SLC38A2	-0.209779687397362	1
AMIGO2	0.124347862760961	1
PCED1B	-0.175023265220782	1
	NA	NA
SENP1	0.291233189344461	1
H1FNT	NA	NA
CHST11	0.735167613991799	1
SLC41A2	-0.506322265202045	1
ALDH1L2	0.152283625794148	1
WASHC4	-0.125256275367752	1
APPL2	-0.152361599428191	1
KANSL2	-0.158992084418409	1
TXNRD1	0.0457518576067613	1
NFYB	-0.226027899935362	1
HCFC2	-0.122801643618062	1
TDG	0.215269524835217	1
GLT8D2	0.121216144653624	1
	-0.118758134689163	1
NT5DC3	0.476131056468392	1
	0.586314835698122	1
PAH	0.180542266206605	1
IGF1	-0.727641528612767	1
PMCH	0.727027015769548	1
PARPBP	0.0650169465698738	1
NUP37	-0.187438307813534	1
GNPTAB	-0.00984466711153944	1
SYCP3	NA	NA
CHPT1	-0.098047598026757	1
MYBPC1	-1.42979906914166	0.860057506846948
	0.271840349839111	1
UTP20	0.233067567555594	1
ARL1	-0.074958563573595	1
SLC5A8	-0.0305996612432324	1
ANO4	-1.12690602614863	1
GAS2L3	0.123372005792922	1
NR1H4	0	1
SCYL2	0.0250869728846536	1
ANKS1B	-0.0077724035904239	1
	NA	NA
APAF1	0.170873084359012	1
SLC25A3	-0.143425611797589	1
	0.0647043084808272	1
NEDD1	-0.0455614582536539	1
LTA4H	-0.19673911200557	1
HAL	-0.262941605214749	1
AMDHD1	0.462156488068168	1
CCDC38	0.145881583678533	1
SNRPF	-0.302111235312799	1
NTN4	0.00756903052337896	1
	NA	NA
VEZT	-0.0856042616973715	1
FGD6	0.297708556657696	1
NR2C1	0.149877746907837	1
	-0.0686503031913162	1
	-0.0367251179837021	1
PLXNC1	0.34865301214926	1
	-0.175885863278578	1
CRADD	-0.043341166106814	1
DCN	-0.544431752106986	1
LUM	-0.58307091798868	1
KERA	-1.52526185408351	0.664172540413446
EPYC	-0.793148603346909	1
POC1B	-0.106388161417857	1
C12orf50	-0.0393185584518015	1
C12orf29	-0.296305090169787	0.918756046569177
CEP290	-0.0775126454572357	1
TMTC3	-0.0520266119394135	1
NTS	0.777597835703235	1
LRRIQ1	-0.311790337080016	1
SLC6A15	-0.560760119320837	1
MYF5	-0.0159432873965405	1
ACSS3	0.0897143947052258	1
PPFIA2	-0.109262470737911	1
METTL25	0.182389557947404	1
OTOGL	-0.00302021998796886	1
SYT1	-0.778415803350187	1
E2F7	0.489815119333776	1
	0.0628306068746713	1
	-0.00491411129990106	1
TBC1D22A	0.059866452912287	1
DYRK2	-0.154568121419168	1
	0.0835489315589614	1
KLHDC7B	0.371083057824224	1
SYCE3	-0.214049778248937	1
LMF2	-0.186784833731453	1
NCAPH2	-0.247369711025051	1
ODF3B	-0.266268926233563	1
SBF1	0.088321512266977	1
PPP6R2	-0.139189435743714	1
HDAC10	-0.313019853320857	1
TUBGCP6	-0.0138561130988734	1
SELENOO	-0.357308724243476	1
TRABD	-0.0750894533839891	1
PANX2	0.0223201468577098	1
MOV10L1	0.0103804847950257	1
MLC1	0.0110304149596831	1
ALG12	-0.398687505504137	1
CRELD2	-0.099184576870601	1
TTLL8	0	1
	0.119551987917187	1
EXOC2	-0.0667583388506034	1
FOXQ1	0	1
GMDS	-0.058917381259518	1
PPP1R3G	0.303387089481385	1
RPP40	0.425029579530448	1
CDYL	0.219106446883949	1
ECI2	-0.290713575402421	1
	-0.0180632930384033	1
PRPF4B	0.0914558195562435	1
SLC22A23	0.569383304189458	1
	NA	NA
BPHL	0.126932028395369	1
RIPK1	0.12877580814119	1
	0.0789334655425534	1
SERPINB1	-0.118505471540014	1
RREB1	0.518991927894314	1
SSR1	0.37127879860304	1
RIOK1	0.163692907451442	1
DSP	0.181389857243409	1
BMP6	-0.0230909652101689	1
SLC35B3	-0.118483067049354	1
	NA	NA
TFAP2A	0.373547947149559	1
	-0.0426698427556706	1
C6orf52	-0.194237515755413	1
PAK1IP1	-0.185408486116646	1
MAK	-0.532147707135992	1
ELOVL2	0.493665764373004	1
ADTRP	-0.0143796691400583	1
HIVEP1	0.0865883346684086	1
PHACTR1	0.215847358096102	1
TBC1D7	-0.109758694741034	1
RANBP9	-0.0378474443271238	1
MCUR1	-0.0556278827106606	1
	NA	NA
JARID2	0.0534164609152665	1
DTNBP1	-0.352102259903041	1
	-0.225723759439646	1
GMPR	-0.243209612287908	1
ATXN1	0.324949320250055	1
STMND1	-0.578225436778272	1
CAP2	-0.830124226237483	1
FAM8A1	-0.150327545295689	1
NHLRC1	0.428169771439773	1
TPMT	-0.453093714297552	1
KDM1B	0.218311191614831	1
	-0.0771769387021747	1
RNF144B	0.509872132516464	1
MBOAT1	0.074280411390771	1
CDKAL1	-0.245151233143426	1
SOX4	-0.395846904920037	1
	0.00850099428402188	1
DCDC2	0	1
MRS2	0.0183116149256595	1
	-0.181809937620795	1
GPLD1	-0.160188905488048	1
ALDH5A1	-0.190305975638785	1
KIAA0319	0.292986212725931	1
TDP2	-0.10589079129811	1
GMNN	-0.162226642690552	1
ARMH2	-0.0172207775630622	1
	0.0871151750198556	1
	-0.0526775338191226	1
CMAH	0.0937737842855646	1
CARMIL1	0.370581369116601	1
SCGN	0.0704153218379624	1
	0	1
SLC17A1	0.218970656492784	1
BTN2A2	-0.308951174258486	1
BTN1A1	0.294224196953406	1
HIST1H1D	0.723959945833855	1
ZNF322	-0.186167162184129	1
ZNF184	-0.246383241736109	1
	0	1
ZNF165	-0.295434687345772	1
ZKSCAN8	0.232758684496098	1
	-0.0167159506644371	1
ZSCAN9	0.231795716027088	1
ZKSCAN4	-0.288336386690205	1
NKAPL	0.0822033524510753	1
ZSCAN26	-0.141445172766012	1
PGBD1	-0.15477323183669	1
ZSCAN12	0.0812210825520562	1
	NA	NA
GPX6	0	1
GPX5	-0.357363488101027	1
	-0.251568105972096	1
TRIM27	-0.0303645156996928	1
	-0.163068030544728	1
	0.178620020357521	1
	0.0539046542946196	1
TRIM26	0.0280779264620519	1
TRIM10	-0.381648801596787	1
TRIM15	0.241167758357687	1
TRIM40	0.464975358720886	1
GABBR1	0.043796475480324	1
ZNRD1	-0.332415955583407	1
ZFP57	0.615137768066996	1
MOG	0.104391384378171	1
	-0.434401336764998	1
	0	1
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	-0.142998102123654	1
TRIM39	0.0187171327127623	1
ABCF1	-0.0564469668720323	1
PPP1R10	0.507910051640767	0.918756046569177
MDC1	0.306468187367873	1
GNL1	-0.0901275214105866	1
DHX16	0.189559062957193	1
TUBB	0.00232574517488382	1
DDR1	0.15071727117902	1
GTF2H4	0.042490751683196	1
VARS2	0.0248571286498204	1
C6orf15	NA	NA
CCHCR1	-0.210304848570401	1
TCF19	0.0309396568921913	1
	-0.476712199698566	1
	-0.241347935694096	1
	0.153124381099325	1
	-0.104892830631695	1
	-0.0629500335934609	1
DDX39B	-0.0362617480500712	1
ATP6V1G2-DDX39B	-0.363187964096997	1
NFKBIL1	-0.406860781593741	1
LTA	0.0869991636785615	1
TNF	0.291223779301879	1
LTB	-0.467690743400994	1
	-0.000925858452349967	1
PRRC2A	0.202478291181241	1
BAG6	0.0491303830039733	1
APOM	-0.203816500630832	1
GPANK1	-0.311479519078013	1
	-0.0972455362732751	1
LY6G5C	0.382719928595357	1
NEU1	0.122424736026721	1
SLC44A4	-0.592489184914092	1
EHMT2	-0.0087299630930986	1
ZBTB12	-0.00887598480777971	1
C2	-0.903499087541254	1
NELFE	-0.280848243237337	1
SKIV2L	-0.107025558370627	1
DXO	-0.087691742770425	1
STK19	-0.292965635309081	1
C4A	-1.11407622065595	0.918756046569177
CYP21A2	-1.62183252629711	0.211037654048057
ATF6B	0.0673825513518386	1
	-0.116668145160305	1
	0.0688343343327059	1
EGFL8	-0.471701539150347	1
AGPAT1	0.120946703618497	1
RNF5	-0.0972080500374376	1
AGER	0.048479441524774	1
PBX2	-0.000939042410267809	1
GPSM3	-0.273982480303991	1
NOTCH4	0.0986058388473653	1
	NA	NA
	NA	NA
	0.185682361129755	1
HLA-DRA	-0.362943997214093	1
	-0.271208261601934	1
	-0.388829286197822	1
SLA-DQB1	-0.399913039404294	1
	-0.095541121932406	1
HLA-DOB	-0.4157731614468	1
PSMB9	-0.0650946466913751	1
SLA-DMB	-0.247592466725596	1
SLA-DMA	-0.367940447840485	1
BRD2	0.166445299639313	1
SLA-DOA	-0.0610152664600012	1
COL11A2	0.417868243475749	1
RXRB	-0.0651548321707876	1
SLC39A7	0.00746547534061309	1
HSD17B8	-0.411985906392834	1
RING1	-0.163182846518577	1
BMP5	-0.254820766334451	1
HMGCLL1	-0.118426177698574	1
GFRAL	-0.13248991548648	1
HCRTR2	NA	NA
FAM83B	0	1
TINAG	-0.0270222789669099	1
MLIP	0.0643456368458281	1
LRRC1	0.465995587224957	1
KLHL31	-0.0126319168728852	1
GCLC	-0.174111733281908	1
	0	1
KHDRBS2	0.172287968705528	1
PRIM2	0.157875958282544	1
ZNF451	0.134523050325527	1
BEND6	-0.472571345500591	1
DST	0.213420545380921	1
	-0.126316964442383	1
VPS52	-0.0287533676454967	1
RPS18	-0.434532859709717	1
B3GALT4	-0.187696880850251	1
WDR46	-0.206959114885532	1
	-0.213017694394792	1
RGL2	-0.196230009001475	1
TAPBP	0.16544153567856	1
DAXX	-0.0345850478133427	1
KIFC1	0.110827109318796	1
PHF1	-0.318301739189399	1
CUTA	-0.308497899226501	1
SYNGAP1	0.0391612760496802	1
BAK1	-0.177333725078274	1
	-0.309958891909523	1
ITPR3	0.877887969236418	0.918756046569177
LEMD2	-0.235881472047828	1
MLN	NA	NA
GRM4	-0.430475871029907	1
C6orf106	0.117353771620579	1
RPS10	-0.495372339609314	1
	-0.0535947874026738	1
UHRF1BP1	0.193559656571822	1
TAF11	-0.237074056255891	1
ANKS1A	0.11757005451466	1
TCP11	0.845551285513269	1
SCUBE3	0.836672464290171	1
ZNF76	0.0345444232600285	1
DEF6	0.103810959376317	1
PPARD	0.15898707073451	1
	0	1
RPL10A	-0.432571932155368	1
TEAD3	0.165921006042205	1
FANCE	-0.0992544370239982	1
FKBP5	0.263328832833413	1
