ID	OAvsNonOA_logFC	OAvsNonOA_padjFilter
ABCC5	0.196074566276576	0.00280860213267891
ABCC5	0.0707523927619427	0.561970543750557
ABCC6	0.0517527991190745	NA
ABCC6	0.0337780237286402	NA
ABCC6	-0.0501783165625147	0.186546291205032
ABCC6	-0.0200889972898288	NA
ABCC6	0.0405518410175416	NA
ABCC6	0.0524311452437232	0.0972717223908055
ABCC8	0.109163276924759	0.561154100058146
ABCC9	0.00608226975468984	0.935861498282858
ABCC9	0.000448850222191766	0.993623338960669
ABCC9	0.0169193764306774	0.725567280344011
ABCD1	0.137501535644306	0.00493291052387547
ABCD2	0.0109157535975211	NA
ABCD2	0.0100522821193003	NA
ABCD3	0.0924807244432744	0.0879605671025529
ABCD4	0.00315661194177785	0.950294832445609
ABCD4	0.0486364087946818	NA
ABCD4	0.00608026357540581	NA
ABCD4	0.0568831138806365	0.196360215908789
ABCE1	0.0340666934386995	0.774404834837114
ABCE1	-0.0565384671086662	0.626461819102853
ABCF1	0.00771385652587497	0.945793697208543
ABCF1	0.061048038593837	0.574857418753762
ABCF2	-0.0131761261181342	0.878095141595875
ABCF2	-0.00193347772978747	0.980510367115168
ABCF2	-0.0421040671578359	0.443984786131633
ABCF3	-0.111537229981976	0.050621477282192
ABCG1	-0.0640423588191625	0.247244477752839
ABCG1	0.0532225950501317	NA
ABCG1	0.0259385352707726	NA
ABCG1	-0.10824211330146	0.0612681981848306
ABCG1	-0.0544184993403416	0.256900115934584
ABCG1	0.015162589984377	NA
ABCG2	-0.01268285487353	0.852656696761408
ABCG4	0.0513271931830808	NA
ABCG5	-9.68701425678731e-05	0.998201065196557
ABCG8	-0.0190208391585251	NA
ABHD1	0.173059062237573	0.000387920991819777
ABHD10	0.12004021552382	0.315674857462054
ABHD11	0.0561779394106114	NA
ABHD11	-0.00748369856044651	NA
ABHD11	0.0217101221345146	NA
ABHD12	0.0868945273169857	0.448325053345522
ABHD12	0.132906050656201	0.0991087459068117
ABHD12	0.122301303672343	0.0695520839349345
ABHD12B	-0.00371145256212824	0.95408217733868
ABHD12B	-0.00915694191882022	NA
ABHD12B	-0.00219091561426499	NA
ABHD13	0.00503267928691109	NA
ABHD13	0.0320116371704842	NA
ABHD14A	0.787411069209679	4.4149413557191e-12
ABHD14B	-0.0824078508932624	0.283981032901047
ABHD2	-0.361797351888896	3.74426574721587e-05
ABHD2	0.0677968069296471	0.0350841216742379
ABHD2	-0.198662287191618	0.0068014765343684
ABHD3	-0.0483156708397701	0.523035212373679
ABHD4	-0.0914850731703458	0.0658011080435013
ABHD5	-0.0696996702257762	0.306346855159286
ABHD6	0.121306652257348	0.0699502738137528
ABHD7	0.00518104426671595	0.95313754301829
ABHD8	0.418125082589135	4.00203957851408e-05
ABHD9	0.0446733206555958	NA
ABI1	0.0167650473022238	NA
ABI1	-0.325488950443736	0.000780808896278739
ABI2	-0.122240787924027	0.0217102969992257
ABI2	-0.560539506590054	2.06104480975001e-06
ABI2	-0.0775158620666936	0.159857490778725
ABI2	-0.00187403320367174	NA
ABI3	0.00351960226457138	NA
ABI3BP	0.86407315731029	0.00237324298693741
ABL1	-0.495256302045799	4.2565742192512e-05
ABL1	-0.0757616911312828	0.223550052992937
ABL1	0.000322307521926746	NA
ABL2	-0.169023872332218	0.000185174940990539
ABL2	-0.119556350037298	0.0478393720159111
ABL2	-0.0451401961013369	NA
ABLIM1	-0.04256338465418	0.788242812235523
ABLIM1	-0.0303483509591684	NA
ABLIM1	0.0594127569463661	0.023232447039137
ABLIM1	-0.0506941172464845	0.386961510766238
ABLIM2	0.0262645307881142	NA
