ID	X8.wks.post.surgery_treatedvsX8.wks.post.surgery_untreated_logFC	X8.wks.post.surgery_treatedvsX8.wks.post.surgery_untreated_padjFilter
Zfp318	-0.14664479831738	0.71532823079112
Cacna1a	0.0692007013267961	NA
LOC100046770	-0.0632873997633556	0.840433941195755
Flnc	0.000888801624908453	NA
3110023E09Rik	0.0566297053249238	NA
Nr1i3	0.0778740268313589	0.501116048204993
Smpd4	0.0206670868401018	0.930637564665947
Xkr5	0.0402403356275567	NA
Tsn	0.107161594462878	0.677761603013432
Tmc6	0.0579549699264943	0.687793831677143
Zcchc13	0.0265637581571152	NA
B230208N19Rik	-0.0445526350148242	NA
A330023F24Rik	-0.0991577678192339	NA
Umps	-0.258867252748543	0.470550556318118
EG433865	-0.0413797406039356	NA
Neurog2	0.101891560619303	NA
9630058J23Rik	-0.13635394610669	0.61298436787661
1700106J16Rik	0.0761307642797471	NA
Map4k2	-0.288873042105009	0.250306874298798
2010312A17Rik	0.091992757837172	0.734596594064564
B430202L17Rik	0.566328960955247	0.0421761707660287
A630026F04	0.0792286024321003	NA
A830018L16Rik	0.0635984958278595	NA
9430020B03Rik	-0.0579411309462703	NA
Odz2	-0.0457038436878081	NA
LOC381208	-0.0233386188363713	NA
A630010I05Rik	-0.0667748414135438	NA
Wars2	-0.0536125495225948	NA
Mapk1	-0.0828646614860595	0.639212675614844
Fez1	0.0088210128944084	0.959978839413638
D630050P10Rik	-0.0615694261720554	NA
Ppifs	-0.0505950301047724	NA
Clec4b1	0.00760860067143998	NA
1700037H04Rik	0.112784200636255	0.768389426989719
Wdr89	-0.0517832358695642	NA
Ceacam1	-0.286666604975713	0.0867533890824136
Cntn5	0.00342235194881368	NA
9630025O15Rik	0.090937634903419	NA
2010305C02Rik	-0.0303684090716603	0.910982576672853
A730011P13Rik	0.0884197444607437	NA
Olfr134	-0.159437972467264	NA
Olfr1417	-0.053419668601645	NA
LOC382867	0.0313583939395992	NA
Lig1	-0.203170208136616	0.426319152597934
BC031147	-0.147857931496345	0.522756999783864
1700020N17Rik	0.00223112046799567	NA
LOC381917	0.080661839499232	NA
Olfr159	0.148630201727345	NA
LOC234050	-0.0639761551223987	NA
4831415H04Rik	-0.0150339778872839	NA
LOC241084	0.00835587066287768	NA
9530020O07Rik	0.0523697198611623	0.706589916825411
Trip10	0.000172910310102026	0.999569377911664
LOC381634	0.0908283481605929	NA
C030018L16Rik	-0.118458319582872	NA
LOC100045688	0.19079859438097	0.462617469320246
LOC100046035	-0.0437342961404612	NA
Rrp7a	0.0457111626938591	NA
LOC381839	0.0210111739661372	NA
Ttc18	0.00585155077015997	NA
A130038M19Rik	-0.0729883631154653	NA
Pim2	0.122044610790943	NA
Acy1	-0.00720338632094464	0.976969560061867
Heyl	0.0337871860258492	NA
4930511J15Rik	-0.186468312816681	NA
Wbp11	0.036915718529559	0.893285694259522
Zic4	0.0757018094446043	NA
LOC385904	-0.000338564542847308	NA
Slc2a8	-0.133699406048278	0.474047461904982
1110029L17Rik	0.0133318286371988	NA
Ly9	0.00962416061778804	NA
Lin7a	0.0191813905744951	NA
3830414F09Rik	-0.0447157095370674	NA
8430408J21Rik	-0.0735297725200512	NA
Eif4g2	0.0486484535349874	0.894485117947041
A330017A19Rik	-0.0681960292142341	NA
LOC385792	0.127508902451988	0.365989567692199
4432404P07Rik	0.0765015266324953	0.652384406008889
Brrn1	-0.0716709426246576	NA
EG434181	0.108538308075921	NA
Med16	0.0167153319580997	NA
Myo1e	-0.0526253919669069	NA
LOC330686	-0.0312956952500159	NA
EG226472	-0.0586836917709821	NA
EG620835	-0.0230693372969508	NA
3830403L08Rik	0.119987407460092	NA
Ephb3	-0.0479641437470573	NA
LOC383675	0.0365682577156088	NA
V1rl1	-0.0438715149812872	NA
Krt2-19	-0.0562802289026179	NA
Ccdc12	0.0139397376698591	0.967111570484664
LOC239683	-0.010408115945201	NA
LOC627626	0.0889167404979396	NA
Ddrgk1	-0.03940899860876	0.89721238276724
scl000022.1_12_REVCOMP	0.476836205782713	0.0685675230267788
D030067F24Rik	0.0327171754580862	NA
