ID	Adamts5Dcat.DMM.1wkvsAdamts5Dcat.Sham.1wk_logFC	Adamts5Dcat.DMM.1wkvsAdamts5Dcat.Sham.1wk_padjFilter
Myog	0.0413883568403407	0.946258900253517
Rbm47	-0.180441744074737	NA
Zfp516	0.0524577526135005	0.82884935410618
Eldr	0.200511810314978	NA
Scel	0.0839282764415887	NA
Slc35a1	0.500948117838585	0.421662410617963
2310011J03Rik	-0.0498012606426097	0.929437734993694
Zc3h12d	-0.164385540597581	NA
Pmepa1	0.500298204050207	0.485712337990147
Olfr1356	-0.203747682626815	NA
Wdr41	-0.235438935887597	0.236467990290786
Fam199x	0.11279837122933	0.705349752442844
Dtwd2	0.136718933292818	NA
Ctsz	0.253697972104738	0.486641669405855
Susd6	0.00576802528910069	0.988530473498625
Ddhd1	-0.127736799759939	0.67389758944895
Ccdc174	0.0025147266988596	0.995111704089389
Extl2	-0.190228361855994	0.535280266538723
Fdps	0.498744603810693	0.154033530693129
Tpsg1	-0.149347136739031	NA
Srsf2	0.0606654486511346	0.877921686175333
2810403D21Rik	-0.090784998652243	NA
Pelp1	0.0154823196999193	0.972239668842831
Rif1	0.329323527417855	0.49236383983994
Kcne1l	-0.121130073107095	NA
Tbxas1	-0.197415382597066	NA
Ep300	-0.0202793228669997	NA
Myl9	-1.11506017264053	0.12932542759471
Btn1a1	-0.00537000352796603	NA
Olfr1297	-0.0831867844150851	NA
Relb	-0.117108934495561	0.7729138816865
Arid2	0.0752823002855989	0.869149529816105
Btg2	-0.198401698534272	0.743249249978775
Tubb2a	-0.769582115201069	0.155652135564802
Cthrc1	-0.080755579255102	NA
Ddit4l	1.35545072070127	0.00159166956864892
Srgap3	0.0432507633056289	0.908298211367116
Gcfc2	-0.152287106929063	0.517024180917147
Skp1a	0.585785130273534	0.016420031858395
Smc3	0.252498224837433	0.396758275804165
Trp63	-0.0510808792340418	NA
Dus4l	-0.25409641414405	0.528121092912395
1700034E13Rik	-0.0611311880934248	NA
Afdn	0.0290421012844353	0.930375410349484
9330179D12Rik	0.0555369471856791	NA
Pgd	0.0844262578460401	0.889183808804093
Megf11	0.125887340862725	NA
Srp9	0.660281336811324	0.00111365614193839
Zfp36	0.321944806397484	0.407234112199911
Rflnb	0.205086403953148	0.486095080502777
Gm4788	-0.150769151435892	NA
Ifi205	0.0291234617880437	NA
Krt13	-0.130932238108706	NA
Kcnip4	0.0547075954799717	NA
M6pr	0.372364239580357	0.184343110641148
Lgals3	0.322677163188968	0.444515065846695
Klf12	0.20703693378247	0.441666313805982
Fat1	0.521782013194585	0.0100683386018534
Fam122c	-0.212744590147335	NA
R3hdm1	-0.00367561465451592	0.99044353030428
Ncan	0.258268354360548	NA
Cdk14	0.0214456859534795	NA
Wdfy3	0.0448513582787103	0.901421816909394
Sox10	0.00812343264807209	0.983496700827549
Rps6	0.313439848704942	0.242688420538438
Zic1	1.26235248284765	0.0504039462481436
Serpinb3c	-0.368856061740863	0.14053414039016
Trappc6b	0.146390346541974	0.715821845264401
Exoc4	-0.133009646787012	NA
Dll3	-0.0748878033712487	0.816862068187327
Teddm2	-0.166587775223481	NA
Eaf1	0.448887845163543	0.254608159457918
Baalc	-0.106100129553738	NA
Cd99l2	-0.108158372058252	0.777255748704696
Cds1	0.363375872808263	NA
Cyp2b9	-0.0938001563088363	NA
Tesmin	-0.00476939779718783	NA
Pctp	-0.259665511658084	NA
Cdc37	-0.0371044049774905	0.94761104485684
Med12l	-0.0293426536614217	NA
Chd6	-0.0223219243795031	0.92457421506591
Camta1	-0.0425421018406344	0.915423235393748
Olfr33	-0.00650715916639456	NA
Hdgfl3	-0.153450417902995	NA
Neto2	-0.0236524758926275	NA
Ccn2	0.308859055923169	0.87989089415685
Tmod4	0.0107241643513446	0.989864395122593
Aldh1b1	-0.0596896205426001	NA
Casp3	0.651512890713716	NA
Dnaja1	0.526850726724555	0.128022125955012
Agtrap	-0.198065180309718	0.32506613452952
Hoxa3	-0.218950808627722	NA
Cdh1	0.0270272014357653	NA
Prima1	0.0803709711930947	NA
Dscaml1	-0.0574384035855205	NA
Dhrs3	-0.368678074458359	0.345182297063174
P3h1	0.117362785243892	0.854236840594398
Chka	-0.298801997494906	0.616564674062042
Ubc	0.338655385220591	0.453583618886117
Slc30a2	-0.201261349423149	0.796188446255022
7030407O06Rik	-0.846751733185323	0.0730908507197232
Esr1	0.505238118576081	NA
Etf1	0.148480156196138	NA
Rrp1b	-0.328258075463859	0.185248528290343
Bysl	0.0850280986997312	0.705518210224669
Nos2	-0.142294466114618	NA
Cd207	-0.137656628167021	NA
Syn1	0.231550413061668	0.365875151464543
Alg13	0.328482896939394	0.173676692314305
Sema3e	1.13700891880537	0.0158217101386059
Ankef1	0.129713649906483	0.760483553167539
Med26	0.357191326365451	0.269037041966301
Slc39a13	-0.173304776376606	0.58869991801358
Cep19	-0.184139418148763	0.440366788106349
Etfa	0.491305706371512	0.301155821045553
Dhx40	0.513565390733913	0.00485879518883818
1110019B22Rik	0.0155295345828949	NA
Gm20738	0.199799790955654	NA
Ash1l	0.100789984919139	0.847300318001214
Tbc1d25	-0.224721344816682	0.521099747062323
Bet1	0.301341834315418	0.31946015682421
Ccnd2	-0.952394540103746	0.0479045038891608
Rab42	0.0504849821459949	0.921983471481828
Negr1	0.141774761568488	NA
Edem2	-0.237994217242441	0.469810892421927
Rad23b	0.170191955097325	0.454024314199984
Aqp9	-0.0637420079278895	NA
Hmbs	-0.473423980533996	0.241666147573697
Zfp715	0.239379081294361	NA
Cnot2	0.0294262413296754	0.916828598871432
Ormdl1	0.304512758477128	0.221216024386403
Inip	0.320812534722483	0.401630064605517
Gm428	0.411386599757816	NA
Aldh3a1	-0.954391035181958	NA
D730045B01Rik	0.0848572324444141	NA
Mcam	-0.124761630969378	0.799900028246651
Olfr22-ps1	-0.0342489379067522	NA
Pask	0.145137113076982	0.69911119965128
Gdpd2	-0.157245738332488	NA
Foxp3	-0.106306249812079	NA
Krtap9-3	0.0166439159876346	NA
Gm19939	-0.959348464886078	0.0169055402669075
Rasl10a	-0.0942854472103063	0.891680468958138
Mtf2	-0.0878768445788923	0.814979003117881
Gsdmc2	0.0240649220494959	NA
Parp1	-0.744276108926111	0.0843613428737686
Ccdc171	0.213931745694576	NA
H2-Ea-ps	0.00476880142950372	NA
Cenps	0.168558845801247	NA
Gpat3	0.377779045639564	0.403526742489528
1700067K01Rik	-0.0355970681573966	0.902170950211257
Txnl4a	0.0960281520621079	0.664450891696013
Fgf8	0.42472727739884	0.438229783651568
Ibtk	0.366779683691858	0.353142481124458
Arl4c	0.069813251033464	0.817852968795847
Foxred2	-0.703202236448349	0.0422209268610142
Coa7	0.295196136126091	0.290337574121368
Ptchd1	0.0437119239749415	0.954652066917914
Ntrk2	0.977926230482452	0.1653471814642
Polr1d	0.36124598392601	0.136896600556502
Zfp518a	-0.0746639102721206	NA
Stk19	0.062030389912239	0.927132739963904
Khdrbs1	0.203243113526359	0.481424321750387
Tbx22	-0.0412174799892503	NA
Thbs2	-0.852777826486393	0.11101002893718
Fancf	0.26059054510809	NA
Pibf1	-0.00829255594455493	0.987299072092772
Ikzf3	-0.00264559668258492	NA
Lin28b	0.0639153888986006	NA
Olfr1168	-0.104244766995651	NA
Mrpl23	0.254915906338963	0.267717600324023
Ipo8	0.671157970693144	0.0419728920697888
Tra2a	-0.200578788574255	0.626958001585375
AW554918	-0.144501565357751	0.588430926055373
Npy1r	-0.0234057116217292	NA
Adat1	-0.154259554561929	0.590658070350581
Xrcc2	-0.135662782689732	NA
Psma7	-0.175665462051701	0.549439557458881
Myef2	-0.0548012274460575	0.897357565444261
Amigo1	-0.347651242219034	0.145053854936425
Cartpt	-0.0564891958934063	NA
Kcns1	-0.0389222590528238	NA
Sh2b1	-0.173118617941566	0.570428357520266
Slc52a3	-0.16743533590044	NA
Htr4	-0.0974560557527434	NA
Gabrg1	0.00515325188312846	NA
4930477O03Rik	0.523095445043724	NA
Ivns1abp	0.470838034881735	0.208852008356271
Itgbl1	-0.934141337251711	0.431830612276813
AI426330	-0.562969325975454	0.111094669173159
