ID	WT.DMM.1wkvsWT.Sham.1wk_logFC	WT.DMM.1wkvsWT.Sham.1wk_padjFilter
Hif1an	0.361289804986184	0.101996525347001
Map1a	-0.2625794740871	0.223283321179558
Mocos	-1.37439450025852	0.000506366957671155
Arhgef19	-0.441646287606255	0.207608726780288
Zdhhc14	0.0525807044232623	0.8571849485763
Vps29	0.451667566304396	0.00962039129740154
Hoxd3	-0.148291040555522	0.550793118810659
H2-T22	-0.180325043762988	0.675843583506628
Clca3b	-0.672152635976061	0.146452992516024
Higd1b	-0.0324370011269852	0.959771163177786
Atp10d	-0.377283164878574	0.159350126165801
Mtus2	0.805524386449612	0.0102827581808339
Tuba1c	0.278718205932008	0.535377656008062
Ngdn	-0.32255025933663	0.0819599946411638
Myog	0.59632770471077	0.11779282476722
Rbm47	-0.11982648853582	NA
Zfp516	-0.16138863822136	0.36548751604352
Eldr	0.255129584282875	0.478412538068877
Scel	0.840963861792902	0.0156397037593814
Slc35a1	1.12044297360052	0.0420252105789786
2310011J03Rik	0.469754537352162	0.186942017585232
Zc3h12d	-0.521770419442861	0.109247605804888
Pmepa1	1.59454775031786	0.0117362257246882
Olfr1356	0.236094300689004	0.356772152344285
Wdr41	0.141709131100203	0.478674405875113
Fam199x	0.199216254076717	0.405888517106059
Dtwd2	0.513149548141711	0.0607418564368615
Ctsz	0.66462985351326	0.0349174787858523
Susd6	0.210386776885578	0.392906353901792
Ddhd1	-0.0911925358423378	0.742328281478277
Ccdc174	-0.53635732005428	0.0876044552222457
Extl2	0.175674763408564	0.53204547789845
Fdps	0.395510039578743	0.246653787304712
Tpsg1	-0.0350289519636794	0.886519336678285
Srsf2	0.0365962867060107	0.911212064337696
2810403D21Rik	-0.0810643457708163	0.732585472211142
Pelp1	-0.184137338057722	0.52806554531119
Rif1	0.291467277197621	0.510209796179936
Kcne1l	0.570015652833796	NA
Tbxas1	-0.460248304533677	0.25117550791541
Ep300	-0.154095899215302	0.404983268292243
Myl9	-1.08808475372098	0.125050618886925
Btn1a1	-0.092118634095517	NA
Olfr1297	-0.0860733805036604	NA
Relb	-0.312628413310894	0.308722308673856
Arid2	-0.224505640013763	0.493752387590759
Btg2	-0.148766018950195	0.783170992931219
Tubb2a	-0.028011629344021	0.967869815746877
Cthrc1	0.574357837631493	NA
Ddit4l	2.04695212679752	4.02901755552463e-05
Srgap3	0.307048315779681	0.206746411532762
Gcfc2	-0.17049784754723	0.416998115585053
Skp1a	0.304802304111697	0.213635352107714
Smc3	0.491974695055019	0.0622016113254997
Trp63	-0.0480633813134931	NA
Dus4l	-0.299477274130895	0.400639720124764
1700034E13Rik	-0.114110615730995	NA
Afdn	0.0648312839936854	0.79571457760284
9330179D12Rik	0.0975213998807427	NA
Pgd	0.338736165772931	0.410904295170451
Megf11	-0.165793068597705	0.167472231261649
Srp9	0.255163313230719	0.194189807809793
Zfp36	-0.284950392060071	0.433591770421997
Rflnb	-0.0528426915300578	0.865010804282808
Gm4788	-0.314103816684871	NA
Ifi205	0.0162309816782048	NA
Krt13	0.0416665085933645	0.849565278594067
Kcnip4	-0.165115726392315	NA
M6pr	0.531423276205081	0.0467506788334196
Lgals3	1.03079061740096	0.00733904672140709
Klf12	0.198084722168157	0.42513976234407
Fat1	0.210895304515246	0.306217966953225
Fam122c	-0.0507229924326311	NA
R3hdm1	0.136686615027159	0.523407611532633
Ncan	0.613165832605365	0.135463086702895
Cdk14	-0.270225316277598	0.19101073923852
Wdfy3	-0.0145933050030075	0.96304308616588
Sox10	-0.272745276682668	0.235445763315761
Rps6	0.347795254982959	0.169701378275302
Zic1	1.03172261956488	0.106261910049029
Serpinb3c	0.110355882314836	0.689874603800094
Trappc6b	0.695739408640918	0.0251980185864355
Exoc4	-0.0498946959845246	0.765375048356459
Dll3	-0.256494251368378	0.276672733638809
Teddm2	-0.0464115920099395	NA
Eaf1	0.418857464848094	0.264373776004141
Baalc	-0.0295742635305242	0.849359150458469
Cd99l2	-0.0887156742324913	0.790480598726317
Cds1	0.860691345065287	0.00364569373742661
Cyp2b9	-0.122729576241819	NA
Tesmin	-0.205490392893618	0.277830625379292
Pctp	-0.427391656969246	0.0947163662204995
Cdc37	-0.173585141328079	0.660247284657013
Med12l	-0.0517971344170295	NA
Chd6	0.0861005432389386	0.599316488026719
Camta1	0.296680668540504	0.249387080275725
Olfr33	0.0949749437970385	0.679564941339775
Hdgfl3	-0.392285563185057	0.189212347963317
Neto2	0.039129474063491	0.900405015151318
Ccn2	1.11738719351523	0.428550567461209
Tmod4	1.10953646981276	0.0364809785887121
Aldh1b1	-0.548247588051061	0.160108178841656
Casp3	-0.140333587874388	0.711739032001442
Dnaja1	1.15525540770085	0.0015708200224829
Agtrap	-0.260494817522528	0.159469993666614
Hoxa3	-0.0525110779444459	0.776582433766201
Cdh1	-1.33666916707184	NA
Prima1	-0.00935471971928347	0.97265903762105
Dscaml1	-0.104889133666796	0.577751443070363
Dhrs3	-1.18252511944342	0.00214833427985633
P3h1	0.326946918575171	0.480885707679961
Chka	-0.0602403296630602	0.921035083845812
Ubc	0.617245522566335	0.117190729176626
Slc30a2	0.640842042715205	0.26096722882432
7030407O06Rik	-0.430800233053076	0.376296722003562
Esr1	0.463940610125469	0.376216873532848
Etf1	0.608306432958033	0.0520228466811017
Rrp1b	-0.232881820042982	0.339013588041021
Bysl	0.0478974391554399	0.816733884287268
Nos2	-0.0166408669305622	NA
Cd207	-0.112388020436608	NA
Syn1	-0.136704115161745	0.594041420936621
Alg13	-0.173108138131341	0.482672099854903
Sema3e	1.18413240766616	0.0137465841675248
Ankef1	-0.176906426829958	0.615007603420614
Med26	-0.0334437703669355	0.929826498901746
Slc39a13	0.0741264793609144	0.814773474628854
Cep19	-0.262299157205363	0.213452739720422
Etfa	0.871114620280861	0.0470981778000581
Dhx40	-0.0389322479652926	0.858833471471931
1110019B22Rik	0.514183967286112	0.0709785380401503
Gm20738	-0.284804044682662	0.536246130056661
Ash1l	0.253066013268893	0.514822943072502
Tbc1d25	-0.102720194935895	0.769678302349761
Bet1	0.169199411359731	0.581380323924338
Ccnd2	-0.722009929678173	0.130157419464909
Rab42	-0.13557675791347	0.715559447726175
Negr1	-0.413260929501307	0.15127847745597
Edem2	-0.0371049134223986	0.917341896026565
Rad23b	0.321009815808891	0.104684326977177
Aqp9	-0.130541045933203	0.44854056177512
Hmbs	-0.529740595391198	0.164825128146006
Zfp715	0.229363830627519	0.180735616966037
Cnot2	0.194801756252566	0.283652837530524
Ormdl1	0.34659621542688	0.140977206972656
Inip	-0.256907472402066	0.478412538068877
Gm428	0.556469919168675	0.319992835783491
Aldh3a1	-0.183054363306997	0.736231372400268
D730045B01Rik	-0.0761354235093703	0.828646999772894
Mcam	0.751945124365385	0.0349174787858523
Olfr22-ps1	0.0485564821980762	0.759905945178039
Pask	0.441915289492532	0.126052757912291
Gdpd2	-0.62798136165512	0.0858162717936966
Foxp3	0.0841310287634894	NA
Krtap9-3	-0.0155304215512922	NA
Gm19939	-0.92411354175898	0.0228989785292458
Rasl10a	0.524080093906445	0.248657121916136
Mtf2	-0.113533372625684	0.713836651338425
Gsdmc2	-0.0056502652464678	NA
Parp1	-0.468598615511177	0.279086829554981
Ccdc171	-0.122106133246523	NA
H2-Ea-ps	-0.0360495400268308	NA
Cenps	-0.10047704390094	0.685885443787348
Gpat3	0.637237047329416	0.111855203246798
1700067K01Rik	-0.140611091050818	0.484488870114675
Txnl4a	-0.0120568600902876	0.957653712344304
Fgf8	0.345156358601801	0.504579237088407
Ibtk	0.252487631805193	0.514517634538424
Arl4c	-0.484327639860144	0.0268881092250703
Foxred2	-1.0096729495597	0.00534706181556961
Coa7	0.245530271621428	0.360634095609413
Ptchd1	-0.303947719046023	0.564470794137
Ntrk2	0.521185792261874	0.46736206896109
Polr1d	0.44185530652085	0.0586900276195357
Zfp518a	0.105492437302955	NA
Stk19	0.249853109410369	0.601210285398437
Khdrbs1	-0.124244861178757	0.65868333062149
Tbx22	-0.0123379401301307	NA
Thbs2	-0.6912228744642	0.185268982541948
Fancf	0.233109125707295	0.695070685700283
Pibf1	-0.26944358140919	0.400485699150183
Ikzf3	-0.0644448229247073	0.689980570973653
Lin28b	0.0563697463085285	NA
Olfr1168	-0.113808516736625	NA
Mrpl23	-0.0869896084089131	0.725939427676922
Ipo8	-0.0988991718472313	0.801652997163668
Tra2a	0.593101222698709	0.0738801285318271
AW554918	-0.0961973371784599	0.703890208036934
Npy1r	0.0465097315164942	NA
Adat1	-0.503533556771352	0.0338699452529751
Xrcc2	0.196542446933192	0.536984996296894
Psma7	-0.22226915802058	0.387201898422033
Myef2	0.356093245086679	0.202178058902003
Amigo1	-0.376656057526897	0.100430896106202
Cartpt	-0.200983228714721	0.17558460421672
Kcns1	-0.533718737520073	NA
Sh2b1	-0.113295245656945	0.696919996631299
Slc52a3	-0.781172716581337	0.00771154681152339
Htr4	-0.0735165577918857	0.730009089933871
Gabrg1	-0.0346957127247816	NA
4930477O03Rik	0.511058068524205	0.203197829875405
Ivns1abp	1.10368670521651	0.00354851763468163
Itgbl1	-0.82656746231848	0.455795156328107
AI426330	-0.327059066818519	0.358717041024315
Cyp2j13	0.0974359026864188	0.475165470147332
Pigm	0.235291804975912	0.264650082851321
Trim32	0.241933746513472	0.336480665871086
Dnajc11	-0.377235974386581	0.0887320389095086
A930003O13Rik	0.120700371968651	NA
Npffr2	-0.0860663358369837	0.594919131499315
Mbd2	0.499535171290494	0.0170905609679506
Otx2	0.268462817043093	NA
Zswim6	0.327483216962003	0.194189807809793
Gsdme	0.0138905501977225	0.972798344314837
