gene_name	Injured_STR_ort_2_weeks_post_injuryvsUninjured_STR_ort_2_weeks_post_injury_log2FoldChange	Injured_STR_ort_2_weeks_post_injuryvsUninjured_STR_ort_2_weeks_post_injury_padj
Acvrl1	-0.0635444257470193	0.831300697655036
Grasp	0.499547216124422	0.0386063517623572
Acvr1b	0.0895824312740231	0.729802612563525
Tom1l2	0.0313683734008576	0.919098476640792
Gpa33	-0.0125898872350529	NA
Zfp385a	0.0259004534014224	0.90916604215577
Itga5	0.731250604542626	0.00363867818916821
Gabra2	-0.0729518952462089	0.873752476363627
Wdr77	-0.222880640944539	0.0926320652202312
Adora3	-0.167922198849617	0.734558989056923
Atp5f1	-0.139658115394029	0.48916852391782
Sox9	0.691002719876019	0.0253351393902536
Hnrnpd	-0.0222415054476321	0.852498914372199
Dynlt1c	-0.323304442621372	0.539648020071255
C1d	0.0284708529327294	0.997770492071235
Gm2a	-0.124884234429188	0.306052953833424
Krit1	-0.0464116776616125	0.71968106719468
Clcn4	0.14190761199731	0.381689912776685
Vmn2r88	-0.110463935918854	NA
Grm6	-0.737515919884981	NA
Sema4f	0.347199408035544	0.485864796484555
Hk2	-0.411941889134539	0.176138878463834
Myo18a	-0.0239928920443136	0.89313487051995
Sez6	-0.017325425524458	0.998202020730181
Haao	-0.208427393073071	0.823127044850936
Cd52	-0.327202671765287	0.145467031506066
Abhd15	-0.253534209934159	0.643896904254139
Hoxb6	0.311214706021772	0.593504263517828
Loxl3	0.921287532622601	0.00363867818916821
Tcl1b5	NA	NA
Btn1a1	-0.269920752645038	0.740669465130022
Kat2b	0.0872932437099542	0.720067946084908
Rab5b	-0.0975797894847009	0.250345507569288
Cryba1	-0.446350806780424	NA
Dnmt3l	0.583766383149653	0.530468439415414
Aire	-0.190149349297638	NA
Icosl	-0.238249701189716	0.172462442259751
Spg7	-0.0221542235598945	0.883193547881246
Sult5a1	0.613575181610475	0.183716985769498
Rpl13	0.0480685537704051	0.796277366796357
Chmp1a	0.0158492520333082	0.808138966132358
Rpa1	-0.12247704858078	0.497444247817281
Serpinf1	0.580613707049629	0.000405393634331867
Tubgcp3	-0.108815180958804	0.523770354339355
Oprm1	0.118647186730802	NA
Polr3d	0.37555054573577	0.165853075931023
Tcf7	0.426224438459289	0.119305200533285
Ddx3x	-0.0457250253687385	0.697014202356858
Il12rb1	-0.0552181909243851	0.993494638543311
Slc5a5	-0.898772947393613	NA
Kcnn3	0.210429472159435	0.796337467178336
Usp32	-0.241589062129692	0.162055007792772
Car4	-0.337825183757396	0.515378965341199
Txnrd3	0.141592707339566	0.623729006267363
Fasl	0.281099657935993	0.827491653605416
Zfp512b	0.0535937194570341	0.903933190994489
Dnajc5	-0.0921805881732147	0.49792489188621
Tpd52l2	0.188312221005168	0.192654624934834
Fmr1	-0.0690034202700813	0.704120690844558
Bcl11a	-0.337104795127919	0.1210249838066
