gene_name	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_log2FoldChange	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_padj
Tead3	0.2207356692256	1
Ppard	0.0417626640211059	1
Def6	-0.235892817717801	1
Peg3	0.255511816506597	1
Zim1	0.231560936322023	1
Metrn	0.0922494518186669	1
Lmf1	0.0480416202846551	1
Narfl	-0.011757123290213	1
Angptl4	0.356715618831311	1
Dbf4	-0.0618120374884753	1
Daxx	-0.115856174012266	1
Cd320	0.0615202358533258	1
Ipo4	0.113287901275184	1
Tm9sf1	0.0824589913817069	1
Rec8	0.0804665234197835	1
Irf9	0.0245087017709625	1
Gmpr2	0.205353511314507	1
Mdp1	0.0408369329016768	1
Dhrs1	-0.0756881361608967	1
Ncan	-0.073095888553397	1
Tmem161a	-0.0145409164865975	1
Armc6	-0.119540729164895	1
Borcs8	0.102980856446592	1
Slc25a42	-0.0598439703600185	1
Snx9	0.120230206500043	1
Ranbp3	-0.0386774625520543	1
Ndufa11	-0.0261490676081728	1
Bmp8b	0.511596224734163	1
Nr2f6	-0.0585492186572748	1
Use1	0.0578270073857936	1
Ocel1	0.16157624698529	1
Dyrk1b	-0.0711103812892949	1
Braf	-0.0499943911566994	1
Ndufb2	-0.0218734111464419	1
Hltf	-0.0408784035597168	1
Prpf6	-0.230120417425773	0.0779386734149269
Rgs19	0.114424949867621	1
Rgs20	0.736259210892004	1
Abhd3	0.206316257200608	1
Snrpd1	-0.0142016866910661	1
Tchp	0.143281006312469	1
Tiam1	-0.0826284558928378	1
Tsc2	-0.0370628488226997	1
Rpl3l	-0.142823390079337	1
Slc9a3r2	0.0234732909231187	1
Puf60	0.0640148088477284	1
Golga2	-0.0470433491633071	1
Uck1	-0.0103144927048185	1
Scin	0.066665508073625	1
Ikzf4	-1.03414202629481	0.222515596571726
Mien1	-0.0500252309734327	1
Pon1	-0.490118448400347	1
Axl	0.19150413042439	1
Tgfb1	-0.029367072717829	1
Ccdc97	0.00420145630596208	1
Zfp40	0.239177714734721	1
Akap8l	-0.0452326945980475	1
Shh	0.0052329208452598	1
Pdcd2l	0.114637978759075	1
Gtf2f1	0.0648629534280002	1
Clpp	-0.0966004573109908	1
Alkbh7	-0.216718577166354	1
Pspn	-0.0923538553899649	1
Dennd1c	-0.103797914355168	1
Med6	-0.0380313566264435	1
Prkd1	0.190303463518324	1
Lcp2	0.0158804992705733	1
Cse1l	-0.014175474035451	1
Naa20	0.0667212167101374	1
Prkra	0.197702437054045	1
Fkbp7	0.440611286572563	0.871293596286831
Plekha3	0.303054114752151	1
Ykt6	0.0918980613184509	1
Baz1b	-0.0560809294664071	1
Pex6	-0.0139508808151155	1
Mrpl2	-0.103536630209677	1
Mea1	0.0896766281620258	1
Gnmt	0.221075352687017	1
Grin2d	-0.0648820369883852	1
Kdelr1	0.122987054595742	1
Tmem143	-0.0556950791116819	1
Pdxk-ps	0.147956346739766	1
Ggct	-0.0394994695761811	1
Jag2	-0.372560345461804	1
Btbd6	-0.154651335085061	1
Nudt14	-0.0686632914265968	1
Epdr1	-0.0736407679729101	1
Flii	-0.176914343517773	0.64905931363982
Top3a	0.151590865475319	1
Atg4d	-0.0820865137709556	1
Qtrt1	-0.120298712061198	1
Plin4	-0.193605354221217	1
Hdgfl2	-0.0557391548906982	1
Chaf1a	-0.0863832290097066	1
Adprh	0.0734236386578939	1
Tmem39a	-0.0888526598667922	1
Timmdc1	0.0241745087104155	1
Pla1a	0.666346705398145	0.830141703273015
Mcm2	-0.154887450317984	1
Tpra1	-0.029981033641049	1
Nab1	0.0460004708354603	1
Adgre5	0.0189019241052891	1
Il17ra	-0.0301692581106056	1
Lamb1	0.545776898805162	1
Kcnn1	-0.425747045235804	1
Arrdc2	0.365058746329963	1
Ppp1r17	0	NA
Cd36	-0.127254018323271	1
Map2k7	0.10010326226616	1
Timm44	-0.0680342415834625	1
Ap2a2	-0.0162180945690267	1
Pnkp	-0.11966554068415	1
Med25	0.0920544930549847	1
Bcam	-0.452099467878655	0.321748608670055
Clptm1	0.0492040280037732	1
Relb	-0.00401255722047678	1
Tomm40	-0.0097389796906314	1
Apoe	0.318950059581604	0.748182450142592
Apoc2	-0.198083613313821	1
Hbp1	-0.0593525852682957	1
Prkar2b	-0.00756007716378887	1
Cdkn1b	-0.0670350713147006	1
Klf4	0.290100388752834	0.932841901200155
Ap1m1	0.00962763066696087	1
Rab8a	0.118542852180575	1
Hmgn2	0.0305249069918354	1
Fam32a	0.0509009077607962	1
Elf3	-0.460970855805723	1
Cyp2c29	-0.00943675537636944	1
Stard3nl	0.22898213216328	1
Stk11	-0.00312197030368738	1
Efna2	0.379194027248397	1
Atp5d	-0.0934059466317995	1
Ppp5c	-0.0405934057500197	1
Cdk12	-0.127266606215431	1
Lipe	-0.197218596481033	1
Pafah1b2	0.108491673570806	1
Tbc1d8	-0.0850070073129057	1
Cnot11	0.0272549912333445	1
Slc2a3	-0.0124212083984933	1
Foxj2	-0.00452588394617383	1
Sri	0.0891411351526705	1
Dgcr2	0.0125886672601796	1
Irf3	0.193438250195798	1
Bcl2l12	0.179393555713015	1
Zfp959	-0.239206295887417	1
Mpnd	0.169520983969261	1
Sh3gl1	0.00569585294583501	1
Ebi3	-0.132735012304563	1
Yju2	0.0585446507530557	1
Ranbp2	-0.103193182320606	1
Edar	-0.154058054841425	1
Grk5	0.108298310141139	1
Dvl3	0.0364417232711575	1
Abcf3	0.0074569182557249	1
Eif2b5	-0.0479478150586812	1
Cyth2	-0.0185189825382378	1
Sult2b1	-0.116854654497923	1
Car11	-0.0219935978669659	1
Dlgap1	0.0429491571178091	1
Plag1	-0.290921554708299	1
Hck	0.00987690308196682	1
Mrpl4	-0.0866842430907808	1
Keap1	-0.141334693050676	0.870020810899915
Ap1m2	-0.605283491844412	1
Glg1	0.0428432699385993	1
Atp8b3	0.479843644467314	1
Btbd2	0.0955396225831841	1
Csnk1g2	-0.0991153111212665	1
Abhd17a	0.0431116286095141	1
Mob3a	0.0694222917822408	1
Cacnb3	0.356007628093199	0.974411550361163
Ccdc65	-0.553343804649836	1
Fkbp11	0.144174195712296	1
Ddx23	-0.0597277343755623	1
Pld3	0.176939472057656	1
Grik5	0.143664149070717	1
Cd79a	-0.060619265631255	1
Rabac1	0.024444506094002	1
Etv3	-0.0521012698585619	1
Prkcsh	0.126654214107212	1
Elavl3	0.572244984084867	1
Rab3b	0.110318839675453	1
St8sia6	-0.22228488812214	1
Fcgrt	0.12521492474856	1
Nosip	-0.0311447322250173	1
Pih1d1	-0.0893862216050372	1
Rps11	0.0511370896248203	1
Supt5	-0.00660972353086836	1
Dll3	-0.517283664585922	1
Paf1	0.0640297258987147	1
Timm50	-0.1236070052172	1
Med29	-0.153149563725441	1
Bicd1	-0.203245318449777	1
Ncstn	0.0279765937602696	1
Pex19	-0.0378578698268208	1
Phyhip	0.0218383725231595	1
Crhr2	-0.129118866191197	1
Inmt	-0.540864310245447	1
Cyp4f18	-0.154922322627001	1
Impdh1	0.0576309685102204	1
Psg18	NA	NA
Dusp3	-0.201719606096757	1
Prodh	-0.163623571859332	1
Ess2	0.21257784131312	0.993948865140491
Slc25a1	-0.0484500780651642	1
Dgcr6	0.00504445717440421	1
Ddr1	0.0797499476402546	1
Ier3	0.0225042721554323	1
Fosb	0.0297625890014257	1
Klc4	0.0415316278267663	1
Ercc1	0.0247932674848376	1
Cyp17a1	-0.0502657327718913	1
As3mt	0.00238247137030266	1
Homer3	0.0258548084195848	1
Crtc1	0.0685426138215527	1
Rnf215	0.167662914288922	1
Sec14l2	0.00525459480124785	1
Aven	-0.187312024048962	1
Cp	0.123301289127861	1
Crot	-0.0539229673687581	1
Rps6ka1	0.0796657916484105	1
Calb2	0.259660799504009	1
Snrnp200	-0.036817894856619	1
Ciao1	-0.148630394757689	1
Has1	0.8969620604932	0.706775247715968
Taf6l	0.0438089513523341	1
Insig2	0.0540007697850823	1
Kpna6	0.0332386226185511	1
Man1a	0.323544968335473	0.167788569993088
Itpkc	0.0410272257006223	1
Coq8b	0.0689111624923388	1
Brd8	-0.0379579319562379	1
Kif20a	0.0856548422582552	1
Farsa	-0.092027220492698	1
Gcdh	-0.0448748597167344	1
Mast2	-0.119544619079873	1
Dnase2a	0.191287119766786	1
Rad23a	0.00177407359048333	1
Calr	0.138943891312425	1
Syce2	0.0456543368948734	1
Nfat5	-0.0193802382568406	1
Nob1	0.0191643266781262	1
Nqo1	-0.237094527051341	1
Ppfia3	0.0732653161176134	1
Gys1	-0.0993763584359244	1
Ruvbl2	-0.147210671527861	1
Lin7b	0.000389558996303129	1
Bax	0.349523742326781	0.871293596286831
Il7r	0.0548773216989455	1
Tfam	-0.0151387590678179	1
Zfp81	0.0116895171901343	1
Efnb3	-0.00687916589565142	1
Mmd	0.000752111466831967	1
Hlf	-0.15693934627974	1
Fam162a	0.0820258254574988	1
Rpl8	0.00493116458458796	1
Grm3	0	NA
Ssbp2	0.115208681233166	1
Fancl	0.207848960198773	1
Brinp2	0.142319492477437	1
Gstm5	-0.141871055112513	1
Gstm7	-0.15176088076864	1
Gstm3	-0.0689940359101179	1
Stat3	0.0838109109319272	1
Stat5a	-0.133378129862631	1
Cavin1	0.168056206272159	1
Map3k11	0.00452578595772065	1
Akt2	-0.0929176901495788	1
Dnaja3	-0.0779719874142012	1
Hmox2	0.0669943646259689	1
Cdip1	-0.097825359795658	1
Map3k20	-0.159568714220726	1
Cwc15	-0.0161372383547683	1
Col5a3	0.648499972908469	0.593076101769327
Dnmt1	-0.0534286274854119	1
Ppan	0.0298807696191817	1
Angptl2	0.592037911881372	0.979293407810024
Cacna1e	-0.18367113829628	1
Cacna1b	-1.39374248437551	0.201736677409526
Trmt10a	-0.202503285640799	1
Etv1	0.373232572112022	1
Kifc2	0.0048496595135628	1
Psap	0.028270907488792	1
Ikbkg	-0.10476513300023	1
Pax2	0.110912902607907	1
Wars2	0.0198397212609521	1
Atn1	-0.355898739895979	0.314307073460321
Phb2	0.0416429200318207	1
Ptpn6	0.0471203142386519	1
Eno2	0.672478058904894	0.437957634352176
Emg1	0.00234940618061843	1
Lpcat3	-0.0504153889224673	1
Atp6v1f	0.0063208575868	1
Il12b	0.252298773132353	1
Clcn5	-0.0975241930776476	1
Clcn3	-0.0335522661730791	1
Hif3a	0.197238065745362	1
Gpx6	0	1
Gpx5	-0.0094340278725248	1
Pde1c	-0.237040370456922	1
Utp20	-0.0349639393932295	1
Spic	-0.0176947738026848	1
9330159F19Rik	-0.366483189878571	1
Cul3	-0.132914233218424	1
Sst	0	NA
Il11	0.938126360679817	0.901568933993533
Large1	-0.0801224491227431	1
Ddx56	0.0286548519735759	1
Tmed4	-0.0509261221462253	1
Col26a1	-0.0560541112821358	1
Bid	0.0697762358210312	1
Ralb	0.0301289608498617	1
Ppp1cc	0.0167604812187748	1
Dnajb11	0.0200095076397358	1
Tbccd1	0.00240534555383409	1
Clec11a	0.204572772107512	1
Zfp324	-0.0531591444895172	1
Gab2	0.0251509412549697	1
Coro1c	0.0378910722661754	1
Tax1bp1	0.0166803196463634	1
Psg17	0.2953791679224	1
Psg19	1.3531684630809	0.693915092512561
Ctse	0.0162601015104927	1
Ndrg2	-0.171569518702815	1
Mettl17	-0.12976166171203	1
Arhgef40	0.0416130605893433	1
Pnpla6	-0.0190385001625957	1
Mcoln1	-0.117055591306748	1
Arhgef18	-0.00637011856064945	1
Pkn2	-0.0544824867901358	1
Cd33	0.00497117823419799	1
Etfb	0.0603896400472743	1
Nkg7	0.048891125596744	1
Stxbp2	0.140855810296867	1
Pcp2	0.411352067715222	1
Sgce	0.180992554995691	1
Chn2	-0.202597103418294	1
Wwox	0.149160304193323	1
Slbp	0.00418621955529109	1
Tyr	0.170228649998345	1
Ghrhr	0.191891075860429	1
Aqp1	0.100389256530142	1
Arid3b	0.0719236874635112	1
Cnn2	-0.0385197682042866	1
Polr2e	-0.00735874379410137	1
Abca13	-0.0985327871656062	1
Myo9b	0.132239445343452	1
Hdac9	0.148587905912142	1
Ly9	0.163872730557647	1
Cd244a	0.00939101079821443	1
Adgre1	0.061419421335711	1
Mtfp1	-0.0564956564002004	1
Rab23	0.214719015051781	1
Rab11a	0.111018348547541	1
Eif2b2	-0.01050744585074	1
Dlst	-0.0467031766749952	1
Pgf	0.230648271246769	1
Ulk2	-0.146361805431281	1
Ccl24	0.994392904243962	0.632316017946068
Dgkq	-0.0282455880526852	1
Tmed11	NA	NA
Grap	0.0283100136685849	1
Pou1f1	0.296706932331359	1
Chmp2b	0.0638878184975405	1
Plod3	0.0791678459050891	1
Ap1s1	0.0242321708811538	1
Mapk13	-0.071627364350953	1
Srpk1	-0.0545498832097041	1
Pax3	-0.410896043915781	1
Lbr	0.00526754810199916	1
Crabp2	1.26632032749904	0.332384276653535
Nes	0.181463314324631	1
Bcan	0.218129507963514	1
Hapln2	0.126843830010915	1
Prcc	-0.0233331971596613	1
Rrnad1	-0.0508574969377015	1
Hdgf	-0.0661619440956909	1
Slc25a18	-0.213526368363298	1
Thop1	0.061183620580453	1
Apba3	-0.251334735235081	1
Matk	-0.346384642861873	1
Pias4	0.0139221133353101	1
Map2k1	-0.00993222808186602	1
Sgta	-0.10053277576074	1
Nmrk2	-0.170619080828292	1
Tmem242	-0.0287269855524921	1
Dtx2	-0.0467034650217135	1
Zp3	-0.0243949594379119	1
Hspb1	-0.200402081842618	1
Rasa4	0.0705690046621881	1
Syt5	0.603368046762108	1
Hnrnpa2b1	-0.0173296117661742	1
Fxyd4	0.420244060691048	1
Ccdc130	0.0066105397351149	1
Mri1	-0.00797560438208651	1
Prkacb	-0.0479949397377984	1
Sgsh	0.0174477309925436	1
Chd5	0.136183698943538	1
Cstb	0.117367570527551	1
Sh2b2	0.0949656081759067	1
Pex5	0.0216279578849549	1
Jkamp	-0.0667644659381623	1
Cd44	0.0576590533740138	1
Slc1a2	0.346343849226962	1
