gene_name	Injured_C57BL_6_2_weeks_post_injuryvsUninjured_C57BL_6_2_weeks_post_injury_log2FoldChange	Injured_C57BL_6_2_weeks_post_injuryvsUninjured_C57BL_6_2_weeks_post_injury_padj
Foxj2	-0.143401036665828	0.263055037406069
Sri	-0.107860863146022	0.552704466095069
Dgcr2	-0.102084864021402	0.673061883829782
Irf3	-0.132892854341809	0.621319109136086
Bcl2l12	0.0713408797010022	0.851704496060608
Zfp959	0.0608809271443515	0.920843637617589
Mpnd	0.151671478808947	0.704995647177854
Sh3gl1	0.0841778796072701	0.829828287358346
Ebi3	-0.314465187880254	0.169278905177007
Yju2	-0.0928408961848335	0.744497488435639
Ranbp2	-0.122810168749923	0.269511518210126
Edar	-0.108699235885706	0.938654010352706
Grk5	0.222644655328862	0.168800889742256
Dvl3	0.0568639060927915	0.760619190682025
Abcf3	-0.180353680693381	0.543453288356777
Eif2b5	-0.0256552113243792	0.907342849014296
Cyth2	-0.19766380856198	0.389740012569369
Sult2b1	-0.201258058113579	NA
Car11	0.313787622180338	0.616481902294832
Dlgap1	-0.399012626329173	0.591537998264159
Plag1	0.00257617353723699	1
Hck	-0.337050282939803	0.0561340649534694
Mrpl4	0.0055388964209748	0.986820796686321
Keap1	-0.0814804720887539	0.563282539105068
Ap1m2	-0.0206416633919201	NA
Glg1	0.18845462348997	0.223870255490378
Atp8b3	0.497975361305203	NA
Btbd2	-0.0421373954867589	0.913192092831396
Csnk1g2	0.0528013193632673	0.84371787625348
Abhd17a	0.000307441190108803	0.995472308786764
Mob3a	-0.26464896047882	0.190668545786948
Cacnb3	0.403275278443222	0.159675925299192
Ccdc65	0.131572508608784	NA
Fkbp11	0.486943762881805	0.216564359644664
Ddx23	-0.0761905435038726	0.72092808425049
Pld3	-0.179483561395811	0.517464621223816
Grik5	0.143991938228093	0.907426295641305
Cd79a	-0.247265873924626	0.621659152824784
Rabac1	0.0571103182888242	0.873962638801636
Etv3	-0.0650711836868885	0.718509511595917
Prkcsh	0.0150506887106078	0.957823416424157
Elavl3	-0.146464812307851	0.915821378887847
Rab3b	0.00706851913392486	NA
St8sia6	0.101022205077821	0.87319866936207
Fcgrt	0.219560879909607	0.0849018746062721
Nosip	-0.0705278559075583	0.77990103910971
Pih1d1	0.0553002474744572	0.824686514911776
Rps11	-0.0222837751056083	0.902378443683122
Supt5	-0.00741258276713192	0.979675715162415
Dll3	-0.17453886353809	NA
Paf1	-0.00613307125662495	0.982768379898536
Timm50	-0.0977861745047552	0.937625565455385
Med29	0.12523430740814	0.76383064557497
Bicd1	0.0488742733392371	0.939459605167473
Ncstn	-0.0631803573601494	0.795069203103716
Pex19	0.0845544854917694	0.917936508068274
Phyhip	-0.419956145629964	0.299617793559552
Crhr2	-0.00182822491885737	0.994990772489543
Inmt	-0.0891377605026085	0.959728880528978
Cyp4f18	-0.285833550846925	0.339301526381656
Impdh1	0.0721745054468209	0.863580215744797
Psg18	NA	NA
Dusp3	0.0750119535927134	0.878827134465128
Prodh	-0.160746567179569	0.678029575504626
Ess2	-0.00909826772237443	0.982768379898536
Slc25a1	0.00639613230403272	0.998967589869586
Dgcr6	0.0328471725705613	0.952977345842338
Ddr1	0.17700711792769	0.678680806850205
Ier3	0.224261506260445	0.557445006383269
Fosb	0.661570546758456	0.387697308187879
Klc4	0.0492305044663806	0.888642654881752
