gene_name	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_log2FoldChange	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_padj
Smo	-0.121399177504414	1
Tspan33	0.168953794751494	1
Crnkl1	0.20961892358586	1
Rin2	-0.311250875893129	1
Folh1	-0.0152848489845359	1
Chordc1	0.0516813760312135	1
Rtcb	0.0602452783884714	1
Pwp1	0.0372326259821531	1
Fbxo7	0.271100968631781	1
Capns1	-0.0015411635340206	1
Lrp3	-0.402056146077357	1
Dsg4	0	NA
Evx2	-0.552443192344061	1
Hoxd13	0.0508157147635775	1
Hoxd12	NA	NA
Folr1	-0.557399437031997	1
Clpb	-0.0749780196189995	1
Sept7	-0.00594679299532438	1
Zdhhc4	0.116733857402338	1
Rac1	0.0854292889512246	0.964078885356795
Nup214	0.348666159708094	1
Aif1l	-0.875721233538664	0.996265365937314
Cpa3	0.101846166656788	1
Ltbp1	-0.302331763528057	0.985385985723453
Ugp2	0.00197144100728404	1
Kcnh6	-0.0813651368967369	1
Trmt1	-0.161864715562432	1
Nacc1	0.14126307742756	0.90381479548202
Nfix	-0.0821875769899854	1
Slc1a5	-0.0814670883499867	1
Uba1	0.0342092774542622	1
Vwf	0.0486676319580741	1
Siae	-0.0282746499047503	1
Vsig2	-0.138720414539505	1
Esam	-0.103234245404244	1
Spa17	-0.105159560771559	1
Fam50a	0.057504683959939	1
Emd	-0.0110027515047143	1
Taco1	-0.146029204303089	1
Grik3	0.00930025056433762	1
Gria3	0.141118714099501	1
Npas1	-0.0737620389736009	1
Sipa1l2	-0.0205479800870373	1
Ap4e1	0.0162579491947709	1
Blvra	0.0918016090539739	1
Pdzd4	-0.0468676758550271	1
Srpk3	0.079281553929078	1
Idh3g	0.0119736981290339	1
Pnck	-0.274397633475965	1
Ssr4	0.0847840689282177	1
Bcap31	-0.0158768749002018	1
Fam98a	-0.106367812814672	1
Ltbp2	-0.077190225400953	1
Kmt2a	-0.159521114331126	1
Ift46	0.14483535250974	1
Tmem25	0.353129440882219	1
Cd3g	0.329054899439861	1
Trappc6a	0.261032176466955	1
Supt6	0.0244211546842735	1
Spag5	0.0372292463258744	1
Foxn1	0.0805221710211387	1
Unc119	0.134541442775257	1
Rab34	-0.116618378420992	1
Sdf2	-0.101540022616394	1
Ccne1	0.246677140127063	1
Hsf2bp	-0.557249772162761	1
Bbc3	0.235432428221143	1
Mybpc3	0.440267724581989	1
Psmc3	0.00877006313341051	1
Acp2	0.0562508073957065	1
Rapsn	0.0305508831271974	1
Slc39a13	-0.20479632468619	1
Celf2	0.058511619837377	1
Nr1h3	0.0775160745822643	1
Ddb2	0.118132307317982	1
Spi1	0.119294765817791	1
Sf3a1	0.158220365823299	0.964078885356795
Stat6	-0.0030206964806491	1
Clgn	-0.0334236948585635	1
Napsa	0.31614254473542	0.66177174704609
Vrk3	0.229996438280361	0.851458098040313
Smg9	0.264574483838556	0.926664188849809
Paxip1	0.209896012451678	1
Rmnd5a	-0.132299291881905	1
Mov10	0.271730020657499	1
Ppm1j	-0.140191087604445	1
Rhoc	-0.176790964382876	1
Prr27	NA	NA
Tead3	-0.0404033646597586	1
Ppard	-0.00155824868430538	1
Def6	0.374593471499336	0.497557405731041
Peg3	-0.454691202925356	0.669435893642892
Zim1	-0.697405975661553	0.830206028914241
Metrn	0.270423411158209	1
Lmf1	-0.159893633410469	1
Narfl	0.291629150966535	1
Angptl4	-0.128046149761813	1
Dbf4	0.143478046367056	1
Daxx	0.0778558156215401	1
Cd320	-0.311858059450438	1
Ipo4	0.0189886630136365	1
Tm9sf1	0.162351329234589	1
Rec8	0.0866276100829328	1
Irf9	0.135645158285996	1
Gmpr2	-0.0550821816774049	1
Mdp1	0.0771773758337649	1
Dhrs1	0.0523870992658508	1
Ncan	0.11433582190301	1
Tmem161a	-0.0388786018649666	1
Armc6	0.010718945995119	1
Borcs8	0.366751624833704	0.033317900204659
Slc25a42	0.0607475581259193	1
Snx9	-0.128366903705169	1
Ranbp3	-0.00720848151403346	1
