gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Rnd2	-0.0265970782090815	1
Srr	-0.017341135135359	1
Sync	0.353344243154777	0.934106963125236
Fndc5	0.0893913845296695	1
Acp5	-0.323386786949989	0.871110931649541
Cnn1	0.336408879859459	1
Fbxo9	-0.230352527226399	0.83546645706203
Vps50	0.272860700423963	0.870832176928894
Hars	-0.0469206873838183	1
Zmat2	-0.0139953472839594	1
Ube2c	-0.0487201214623142	1
Smg5	-0.073581071736888	1
Cct3	0.168421766918205	0.556544458732004
Glmp	0.0509437615180421	1
Mef2d	-0.0004467212359353	1
Tmem79	0.00739166612253707	1
Snd1	-0.0338133649958214	1
Col18a1	0.505688332870901	0.928811063848758
Slc19a1	0.00773638992241338	1
Kpnb1	0.0624562293456458	1
Npepps	-0.171855768624554	0.916978481185556
Tbx21	-0.337559295730317	1
Mrpl10	0.0520019793998112	1
Cyp51	0.348354389691717	0.933607646801643
Tcf25	0.0120053981055966	1
Tubb6	0.506468665706384	0.553715799640769
Def8	-0.0942452090813488	1
Meox1	0.21082497989345	1
Sost	-0.108914821806117	1
Nkx2-1	-0.09874977090698	1
Pax9	0.000512918147501599	1
Irx2	-0.0251905547747973	1
Col1a1	-0.00126288389459408	1
Itga3	0.489108622489894	0.982965135313765
Sgca	0.159249521176387	1
Dlx3	-0.187001314488433	1
Foxm1	0.0648531586385504	1
Itfg2	-0.162313024693602	1
Nrip2	0.104018988364917	1
Tulp3	0.0466331001993015	1
Gtf2h4	0.0374319016527177	1
Tubb5	-0.00111406680681573	1
Ell2	-0.211807730657716	0.936052222004242
Jup	0.0750912334926676	1
Fkbp10	0.280062736483698	1
Klhl10	-0.498519377557691	1
Mnx1	NA	NA
Nom1	-0.217909179614827	0.972032323936061
Ergic1	0.154949462362112	1
Tnk1	0.217284276529651	1
Acap1	-0.212486571203028	0.874156540032163
Tcea3	-0.116014499766383	1
Csn3	-0.0643719038473768	1
Ifrd1	0.0188051396987404	1
Stk38l	-0.0219322582506051	1
Brpf1	-0.109584037176212	1
Akr1b3	-0.0181155037770805	1
Hoxc13	0.207782500940821	1
Hoxc11	0.657220920284898	0.596820422417584
Hoxc8	0.0430897545723628	1
Hoxc6	0.127826379785879	1
Gstt1	0.14354507449134	1
Gstt3	0.114325867607384	1
Ddt	0.109296269388196	1
Tat	0	1
Marveld3	-0.121847571523658	1
Ddx18	0.155342569404785	1
Ubl3	-0.187666331214756	0.83546645706203
Gramd3	0.0326709840291108	1
Eef1e1	0.0664632400111495	1
Akt1	0.104106932240881	1
Cldn15	-0.26143908710018	1
Il16	-0.0673547399855713	1
Tcirg1	-0.0138545393227956	1
