gene_name	Injured_STR_ort_1_week_post_injuryvsUninjured_STR_ort_1_week_post_injury_log2FoldChange	Injured_STR_ort_1_week_post_injuryvsUninjured_STR_ort_1_week_post_injury_padj
Tbrg4	-0.266212821487593	0.142753164144632
Tmprss2	-0.557930883502349	0.442834674237303
Mx1	0.113925525984643	0.813231648988197
Fap	-0.0586161145017874	0.852841347949006
Gcg	-0.0182373120274326	NA
Ndufa9	-0.211187394162348	0.33654493381059
Egfl6	1.41788183600811	1.23224327775118e-08
Lck	-0.310791275458813	0.51607998196353
Tssk3	0.275641389382373	0.687879129125018
Cttnbp2	0.478284007915095	0.473380598818631
Galnt1	0.311010739303319	1.32252851744397e-05
Myf5	0.313200990849339	0.732168532465239
Mkrn2	-0.0312329429635172	0.933722619745927
Pparg	0.0460701257650692	0.890952865712643
Raf1	-0.26714759412486	0.057526497476269
Sept1	-0.279936934172827	0.159836303520205
Pdgfb	0.156156348244226	0.588777558587055
Acvrl1	-0.122354616402888	0.636768283690965
Grasp	0.841534339303598	6.03231845085063e-06
Acvr1b	0.318465866613333	0.0460981091587044
Tom1l2	0.0705358058979626	0.814047709322392
Gpa33	0	NA
Zfp385a	-0.00457445178067978	0.990472771581583
Itga5	1.07985652010679	7.67664243771532e-06
Gabra2	-0.0773038721686484	0.948147138027313
Wdr77	-0.0378425783367843	0.8759283560124
Adora3	0.23317039000672	0.604485615404474
Atp5f1	-0.320505199500817	0.0757473944016718
Sox9	0.818948007305264	0.00428850726724924
Hnrnpd	0.0256962106014704	0.912558177291215
Dynlt1c	-0.234888363373418	0.708630720875743
C1d	0.0430480719471819	0.840804791222507
Gm2a	-0.146081720972816	0.190881683110092
Krit1	-0.0229773502401831	0.883212525380987
Clcn4	0.194437797057018	0.154637235016376
Vmn2r88	-0.450393884026668	0.647740065363514
Grm6	-0.386949292604204	0.71356466766099
Sema4f	1.07060712381575	0.00726545718591957
Hk2	-0.0508056180447461	0.928293545797313
Myo18a	-0.219246754363098	0.20170342606062
Sez6	0.0169782511582221	0.977845112986628
Haao	-0.748753564676833	0.0917844684728187
Cd52	-0.459456493798789	0.0153762692084147
Abhd15	-0.372556288189422	0.47237322614818
Hoxb6	0.489087357546359	0.397096697022619
Loxl3	0.754050819006959	0.0223562959380163
Tcl1b5	NA	NA
Btn1a1	-0.586477542548293	0.367569203722169
Kat2b	0.0279194399228575	0.945469981169671
Rab5b	-0.129812339159216	0.110092134981847
Cryba1	0.454428253256509	0.747457621652736
Dnmt3l	0.632279083771241	0.377970348063288
Aire	-0.119554654060267	0.900765421024402
Icosl	-0.444089730713709	0.00332850003580112
Spg7	0.0422638166250112	0.861258967349146
Sult5a1	0.720909303684121	0.0977080095835101
Rpl13	-0.0537900715935873	0.78478647267893
Chmp1a	-0.130993895393372	0.212076125329124
Rpa1	-0.0994726862285388	0.61544119226422
Serpinf1	0.586346261288498	0.000262672119963884
Tubgcp3	-0.0476664976350471	0.815995320303161
Oprm1	-0.588140788647515	0.466792460880606
Polr3d	0.593288808023148	0.00271288031391023
Tcf7	-0.0232719339473697	0.974755863652701
Ddx3x	0.222566992176167	0.0305852900702209
Il12rb1	0.626209968940482	0.367514012650758
Slc5a5	-0.308300707574116	NA
Kcnn3	1.10476957876435	0.00379609451803146
Usp32	-0.28348177235645	0.0829995192248355
Car4	0.130393887774688	0.839888323580951
Txnrd3	0.165912752937947	0.443419601840686
Fasl	-0.0614533273115659	0.97396573359029
Zfp512b	-0.119861485419546	0.737400443026337
Dnajc5	-0.118914418925236	0.305727287459164
Tpd52l2	0.126848502692008	0.380412828505139
Fmr1	0.00573105395308073	0.98926256692479
Bcl11a	-0.555972464907949	0.00164224873089961
Il4	-0.407718235960413	0.526065539103668
Pxmp4	0.0832595590628539	0.692971453559593
Dlg3	0.482704369702396	0.0442113212553653
Gnb1l	0.0339987789845382	0.978151338573638
Dbh	0	NA
Mmp11	1.12189591649368	0.00776299902135226
Smarcb1	0.0838718546992353	0.631520768280434
Vpreb3	-0.754909243480593	0.0186534885244874
Hip1r	-0.359830434099236	0.159216435070192
Nsun5	-0.203881006539089	0.396880996601069
Top1mt	0.261688616185015	0.261905492719888
Hoxa10	0.291093461662573	0.083494807717999
Hoxa4	-0.173540136315203	0.834174959786275
Gm38393	-0.229290546749851	0.625098428894923
Mmp14	1.46864981003891	2.17547509522034e-10
Slc7a7	0.00230828483057156	1
Oxa1l	0.0661575817924404	0.751006133695612
Heatr6	-0.253416965280448	0.393652142939796
Ccl3	0.00444699894627908	0.997640530465909
Wfdc18	0.0740534110908425	NA
Icam4	-0.857939885963163	0.00336031146894961
Ilf2	0.0131870446796328	0.92160797054029
Chtop	0.0825565575301402	0.454823181564484
Snapin	0.0281144662088591	0.896478268590905
S100a4	0.170538901717823	0.722932255744184
S100a3	-0.00606488514246574	0.957683401979045
S100a5	0.197122449775124	NA
S100a6	0.0571250401716984	0.839130014158661
Scn4a	-0.708304399284998	0.0221612136387533
Icam2	-0.300615155543354	0.112023388154408
Mapk7	0.175666958367283	0.58644887194254
Epn2	0.0758880653632086	0.820151428416347
B9d1	0.320112357428536	0.553269683054653
Sec24b	0.08815634742222	0.746987488893616
N4bp3	0.258568595742394	0.406098699718508
Rmnd5b	-0.0195833397109384	0.975944490345309
Nhp2	0.0870983935574246	0.768779343027335
Vps9d1	-0.283273180281327	0.369360054736723
Zfp276	0.0823342691364234	0.755889723539483
C1ql4	0.0416734595589015	NA
Mfsd10	-0.00902436833979879	0.985075321713977
Luzp1	0.676562474001106	0.00266815448559331
Slc13a2	-0.725497424721769	NA
Kctd10	0.27464377527776	0.000602833843525486
Poldip2	0.356471446046311	0.00532942804338638
Sebox	0	NA
Ift20	0.458444744212314	2.37492549338316e-05
Col6a1	1.43853839039163	0.000364401154835561
Pcbp3	0.335346618693564	0.441253828502574
Lgals9	-0.150327185846837	0.495889665526079
Araf	-0.00894229588169079	0.970075290967943
Cfp	-0.299053443520948	0.0252917916509858
Timp1	1.35469096050003	0.00142592368897518
Uxt	-0.299031413102034	0.143680009118764
Cnnm3	-0.249048558453551	0.297936780729104
Lman2l	-0.248055582011036	0.312264318251534
Mcm3ap	-0.0524571902972153	0.877207537995318
Pcnt	-0.158940174188849	0.304857892777611
Ftcd	1.36047898777982	NA
Mxd1	-0.5631630887149	3.91193045738565e-05
Gmcl1	-0.0555961761120131	0.787713395619143
Snrnp27	-0.010165608243617	0.98102408504395
Oas1c	-0.274731359569867	0.706446656456641
Oas1h	-0.0397647588786892	NA
Ocrl	0.253285147326801	0.10933306053678
Calm1	0.0928699726034126	0.543690158206233
Agpat3	-0.106323792931051	0.713685766643983
Slc26a3	-0.145343909886109	0.918445679219289
Sema6b	0.201319931865104	0.640972946420596
Uhrf1	-0.328727848257134	0.0519049756598256
Dpp9	-0.0922827315451179	0.502679431325261
Ramp2	0.115708402932027	0.736722606669039
Lsr	-0.0755647007193909	0.900975561647623
Gramd1a	0.219493733345293	0.145802397153542
Hpn	-0.211032683879105	0.674635668281468
Gabrg1	-0.558891479497424	NA
Ckb	-0.251959983802312	0.248608613076555
Sp1	-0.0637868497776289	0.71699953553711
Itgb7	-0.36879352569917	0.182127892541232
Myg1	-0.00504956179585856	0.985124352135185
Rarg	0.213034760989988	0.194243106372401
Pfdn5	0.184117250508688	0.0591152785826986
Efnb2	0.297023127876369	0.13483987210369
Rrp15	0.172452717222141	0.19346026013072
Rnd2	0.336026946138417	0.208586746373864
Srr	0.176935850592264	0.537878073838474
Sync	0.149474128745152	0.687557892302805
Fndc5	-0.280743931752964	0.56384718199795
Acp5	-0.284786143032958	0.241995840256332
Cnn1	0.864916626660652	0.0744688355683999
Fbxo9	-0.256861692181054	0.142562780196989
Vps50	-0.170217196815786	0.525960024336582
Hars	0.09198851402376	0.352791095062245
Zmat2	-0.170241761449543	0.171766177257237
Ube2c	-0.497972396130627	0.000922824495674659
Smg5	-0.224446728125262	0.0709242275294349
Cct3	0.108983868172515	0.386847179439786
Glmp	0.0287793978632266	0.952446829908457
Mef2d	-0.0639999598521267	0.858768168353009
Tmem79	0.221594105121741	0.759360891688026
Snd1	0.201396792447085	0.394211511795967
Col18a1	1.22565064238831	0.00132208213849084
Slc19a1	0.338609531728293	0.320517108520928
Kpnb1	0.169781275679767	0.3137992496953
Npepps	-0.185672353261815	0.253365157809554
Tbx21	-0.598307325160461	0.386864047260439
Mrpl10	-0.166255199462953	0.291772285259792
Cyp51	0.457845008472858	0.110564489646236
Tcf25	0.0253607752020305	0.84677887932183
Tubb6	0.858907773877629	0.00179073310096583
Def8	-0.0455979813559615	0.841714502843307
Meox1	1.02878744920867	2.06192848823943e-05
Sost	-0.895821388159638	0.000785436024949241
Nkx2-1	-0.308984634811472	NA
Pax9	0.423673603626417	0.286497168942796
Irx2	0.78855323099675	0.297136902521615
Col1a1	0.741659840766789	0.00050660383389392
Itga3	0.303646588225367	0.574121922576743
Sgca	-0.541332741256999	0.142749251766514
Dlx3	-0.52214906917734	0.012799610731611
Foxm1	-0.23635295408535	0.396147926629053
Itfg2	0.425200728006457	0.0578422773811572
Nrip2	0.155500287540629	0.678727609691041
Tulp3	0.44467920125375	0.0335608128185174
Gtf2h4	-0.106909542641705	0.776683437546239
Tubb5	0.141463297387954	0.337773743116589
Ell2	-0.174888437587288	0.454125483010173
Jup	0.00682113936569533	0.997329847423171
Fkbp10	0.974884033319639	6.91590861831565e-05
Klhl10	-0.0323444147666989	0.992246070000947
Mnx1	NA	NA
Nom1	-0.153606704924147	0.534807290729225
Ergic1	0.545197051269118	0.000170641765962693
Tnk1	-0.686228058376228	0.305246068291748
Acap1	-0.574787031503148	4.27605415367448e-05
Tcea3	-0.180236588240449	0.721389651309897
Csn3	0.250288802364985	NA
Ifrd1	-0.00775217635835342	0.985752061212947
Stk38l	0.741548081830453	0.000659502236220555
Brpf1	-0.00771998547780779	0.975903964956911
Akr1b3	-0.0623022746527157	0.870841975549149
Hoxc13	0.157206930152364	NA
Hoxc11	0.0880939292114522	0.912417508125224
Hoxc8	0.211798897765349	0.422282735351233
Hoxc6	0.456422605538408	0.0513386472721276
Gstt1	0.0764719445667988	0.863208738426394
Gstt3	0.502200478550926	0.0907327758240927
Ddt	0.0330861334539237	0.944801057991571
Tat	0	NA
Marveld3	0.479445163740234	NA
