gene_name	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_log2FoldChange	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_padj
Ift46	0.0256194794125112	1
Tmem25	-0.223093784119991	1
Cd3g	-0.291464797454984	0.93234854076966
Trappc6a	-0.0145609370891743	1
Supt6	0.13246449436616	0.0978554698691358
Spag5	-0.227069250666348	0.746097257554039
Foxn1	-0.558622797632201	0.981503257182669
Unc119	-0.0931674415185183	1
Rab34	0.112331452628612	1
Sdf2	0.0351162626512243	1
Ccne1	-0.0369797437116884	1
Hsf2bp	0.719717026618661	0.830695917188788
Bbc3	0.318101384347023	0.818611622554405
Mybpc3	-0.815604315957025	0.478385608027999
Psmc3	0.0940760847846815	0.951790608637203
Acp2	0.26439864364924	0.97947737981136
Rapsn	-0.158487095665037	1
Slc39a13	0.131851904673772	0.987959663059922
Celf2	-0.00665332292653222	1
Nr1h3	-0.137299420655093	1
Ddb2	-0.0892119555709374	1
Spi1	-0.0672894969901552	1
Sf3a1	0.0114185181817617	1
Stat6	0.0730893578080397	0.933624976539374
Clgn	0.22743690128482	1
Napsa	0.0794799876951009	1
Vrk3	0.000436543456006398	1
Smg9	0.0738285964287758	1
Paxip1	0.193842864469074	0.798000617118234
Rmnd5a	-0.209480179668265	0.429777132449581
Mov10	-0.177423296513774	0.943822862747057
Ppm1j	-0.288491551459689	0.905349844065023
Rhoc	0.209472828185019	0.840226662295371
Prr27	NA	NA
Tead3	0.457205829732659	0.51090894370663
Ppard	0.0015518785471661	1
Def6	-0.178586934601108	0.813995972481574
Peg3	0.157289909068323	0.991444793178164
Zim1	0.18659647600764	1
Metrn	0.0276090771321862	1
Lmf1	0.161897201264668	1
Narfl	-0.0342898336210475	1
Angptl4	1.08130157381618	0.00387678728013372
Dbf4	-0.0366168777877089	1
Daxx	0.240280780084126	0.769926159953499
Cd320	0.128136598188764	1
Ipo4	0.39707404373007	0.475073400380642
Tm9sf1	-0.00538231644565891	1
Rec8	-0.380032731563766	0.869372172919253
Irf9	0.0939329230314609	1
Gmpr2	-0.0337032648942457	1
Mdp1	-0.0334262328748751	1
Dhrs1	-0.0394024484236799	1
Ncan	-0.0192524697611968	1
Tmem161a	-0.0138134837383826	1
Armc6	-0.00786453232388043	1
Borcs8	0.0467103898757308	1
Slc25a42	-0.143950930022781	0.865117921544041
Snx9	0.138317864430803	0.734485345446955
Ranbp3	0.0317924153903536	1
Ndufa11	-0.258724479194933	0.629571364439267
Bmp8b	0.924246226460226	0.522269797393204
Nr2f6	0.610459781706061	0.405984385973625
Use1	-0.0525842432986626	1
Ocel1	0.0952790388218669	1
Dyrk1b	-0.227259158654465	0.779719737894862
Braf	-0.0245823880753718	1
Ndufb2	-0.163694982281368	0.936371238113193
Hltf	0.00950442218571437	1
Prpf6	0.0335257408762251	1
Rgs19	0.101832712360337	1
Rgs20	0.391594728767475	0.960177413811742
Abhd3	0.411412483130013	0.895747514040487
Snrpd1	0.0841250448796955	0.98463215540333
Tchp	-0.0908461189929139	1
Tiam1	0.116178059372131	0.977268802861077
Tsc2	-0.03027832949782	1
Rpl3l	-0.548043593709614	0.162622742366848
Slc9a3r2	-0.313699136420308	0.166334395861066
Puf60	0.249890983855889	0.185306916556211
Golga2	0.0637821809991036	1
Uck1	-0.179629024499337	0.917708287278697
Scin	0.0601678376055301	1
Ikzf4	0.155737286779171	1
Mien1	0.00598520117065793	1
Pon1	-0.725342720048664	0.41773085106331
Axl	-0.230876693595772	0.454678628960926
Tgfb1	-0.246510592298556	0.681163550139837
Ccdc97	0.0238395890400828	1
Zfp40	-0.00736258648378495	1
Akap8l	-0.0169300382701487	1
Shh	0.0138376635360852	NA
Pdcd2l	0.14818167983179	0.987949079710812
Gtf2f1	0.04490310892913	1
Clpp	0.175060772007517	0.676807321936394
Alkbh7	-0.544853070773713	0.0383872065007863
Pspn	-0.0176899112910905	1
Dennd1c	-0.0437430483768486	1
Med6	-0.10835592235776	0.940294569717868
Prkd1	-0.036576279525049	1
Lcp2	-0.0284305571550189	1
