gene_name	Injured_STR_ort_1_day_post_injuryvsUninjured_STR_ort_1_day_post_injury_log2FoldChange	Injured_STR_ort_1_day_post_injuryvsUninjured_STR_ort_1_day_post_injury_padj
Tbrg4	0.138906981421195	0.639461082608486
Tmprss2	0.115088810512334	0.966013938021985
Mx1	-0.345563052927462	0.630605541600657
Fap	-0.292120389948052	0.135502533306021
Gcg	0.00906168290027692	NA
Ndufa9	-0.127090377259075	0.707769137493601
Egfl6	-0.400324137819038	0.290331660715901
Lck	-0.185254570834463	0.794009115718478
Tssk3	-0.789397290989479	0.493131674766701
Cttnbp2	0.024429621960186	0.999274606809979
Galnt1	0.0369397460387725	0.85791744310772
Myf5	-1.24678226707652	0.114240419186376
Mkrn2	-0.124105747673246	0.713925437376712
Pparg	-0.107999005277462	0.833264435433442
Raf1	-0.0630572218855041	0.851646634878199
Sept1	-0.113352223289183	0.763510128034456
Pdgfb	0.133336347344047	0.765417700114008
Acvrl1	-0.124434808692529	0.750408448526809
Grasp	-0.118062591010639	0.791965484604908
Acvr1b	0.28205913279108	0.114702967599443
Tom1l2	-0.12020694437517	0.753207367642461
Gpa33	0.0190406027155409	NA
Zfp385a	-0.179420237141497	0.561515061359068
Itga5	0.830647168086668	0.000639420535167957
Gabra2	-0.377982848067919	0.488601519960998
Wdr77	0.118831815110175	0.595332585373496
Adora3	0.1093107764798	0.885858124968457
Atp5f1	-0.175441310984656	0.527196708556265
Sox9	-0.235103124130968	0.696774373999161
Hnrnpd	0.164206918945011	0.435371494605988
Dynlt1c	-0.271052940904933	0.748003982523008
C1d	0.0721112463063644	0.870980906350593
Gm2a	0.100337584320411	0.542459959775781
Krit1	-0.0281964135264347	0.906867004155149
Clcn4	-0.0119671060485068	0.983032451383006
Vmn2r88	-0.169921396729909	0.937446669177194
Grm6	-0.270224367845974	0.841924311593976
Sema4f	0.0820796891269453	0.954243587224605
Hk2	0.0432003602578776	0.959877748952983
Myo18a	-0.0994067125377436	0.74595165261279
Sez6	0.339913003863356	0.777192645122063
Haao	-0.0300574792781752	1
Cd52	-0.00694192874673143	1
Abhd15	0.410687833277914	0.515354191328234
Hoxb6	0.32566320250103	0.727754031062504
Loxl3	0.359465372026982	0.50108195073135
Tcl1b5	NA	NA
Btn1a1	0.654542848241892	0.29309767474533
Kat2b	-0.197213128505118	0.487720449828759
Rab5b	-0.150203954220204	0.0658858336574776
Cryba1	-0.262298985250157	0.862066685550884
Dnmt3l	0.71812914120964	0.461085142177329
Aire	0.125482749836715	0.978204262198745
Icosl	0.0769772320062826	0.813495628119808
Spg7	-0.10452815714965	0.736547973306784
Sult5a1	-0.686755156894161	0.171408825114096
Rpl13	0.0846958352811079	0.738161967821569
Chmp1a	0.0714984505854742	0.637597820235817
Rpa1	0.0153091286237976	0.983032451383006
Serpinf1	-0.0927248037933136	0.829440040602148
Tubgcp3	0.146297182018327	0.41622997242021
Oprm1	0.823844485209455	0.43396547182196
Polr3d	0.2563506249675	0.459346734427267
Tcf7	0.108449737546543	0.858543216316223
Ddx3x	0.212020863819704	0.0747792743967223
Il12rb1	-0.567878795516132	0.601840378679452
Slc5a5	0.301720813436778	NA
Kcnn3	0.297634290257565	0.735945616702292
