gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
Meox1	0.0349751675023681	1
Sost	-0.0221718664985125	1
Nkx2-1	-0.0552685115150143	1
Pax9	0.347412778456016	0.950934796595307
Irx2	0.521759247143025	1
Col1a1	0.14508342620949	1
Itga3	0.0173356392812429	1
Sgca	-0.302183785011907	0.980742236647792
Dlx3	0.111192234242281	1
Foxm1	-0.118496063457628	1
Itfg2	-0.152531698915068	1
Nrip2	-0.103871739050057	1
Tulp3	-0.0618288439511628	1
Gtf2h4	0.254110244080488	0.912071490781483
Tubb5	0.114906936175479	1
Ell2	0.0175490315539799	1
Jup	-0.00569150826692513	1
Fkbp10	0.298002891908097	0.934964816695437
Klhl10	-0.0101781548409661	1
Mnx1	NA	NA
Nom1	0.0429258486760754	1
Ergic1	0.0153613156014883	1
Tnk1	-0.171953532235543	1
Acap1	0.148744515682559	0.989457419556016
Tcea3	-0.388232318349586	0.830577525138632
Csn3	-0.150403817145509	1
Ifrd1	-0.133784582327763	0.897904867655191
Stk38l	-0.025011973094612	1
Brpf1	0.0528537634714528	1
Akr1b3	-0.333337236449716	0.69985625241955
Hoxc13	0.176327222726231	1
Hoxc11	-0.380451285531635	1
Hoxc8	-0.0279418021167014	1
Hoxc6	0.0470527555323763	1
Gstt1	-0.0956940930034861	1
Gstt3	0.350947311843862	0.889016255128018
Ddt	0.0918991132663249	1
Tat	0	1
Marveld3	0.516938975778908	1
Ddx18	0.0193271022008423	1
Ubl3	-0.245877776114816	0.56573114964838
Gramd3	0.0242741893912958	1
Eef1e1	-0.229503619586781	0.871651499844831
Akt1	-0.0590882270957675	1
Cldn15	0.0183204727130202	1
Il16	0.0338410839050838	1
Tcirg1	0.179099858458368	0.976047727593783
Naglu	0.361164624184512	0.636011048308256
Coasy	0.324255114739925	0.486202385715359
Smo	0.231484889584451	0.78843288231522
Tspan33	0.0970049989735285	1
Crnkl1	0.246993950227108	0.868303833357325
Rin2	0.343776473680511	0.785322895755147
Folh1	0.446332573223113	1
Chordc1	-0.0831963033320297	1
Rtcb	-0.053491971051627	1
Pwp1	-0.0945093682742784	1
Fbxo7	-0.0137107789087442	1
Capns1	0.0541534529555156	1
Lrp3	0.197543748208963	1
Dsg4	0	NA
Evx2	-0.409199364425192	1
Hoxd13	-0.367663286156095	1
Hoxd12	NA	NA
Folr1	-0.101584563980428	1
Clpb	-0.273268063699526	0.745860794463363
Sept7	-0.00199978386794786	1
Zdhhc4	0.132971693305068	0.999701297022674
Rac1	-0.0469668173259127	1
Nup214	0.191247726488588	1
Aif1l	-0.560002312752045	1
Cpa3	-0.0103247004026947	1
Ltbp1	0.305964354844116	0.772120473896017
Ugp2	-0.52997495639393	0.414146099267214
Kcnh6	0	1
Trmt1	-0.0571302089212517	1
Nacc1	0.0349952043540851	1
Nfix	-0.0193557105650635	1
Slc1a5	0.081289702846775	1
Uba1	-0.0641835967737334	1
Vwf	-0.0201137132244773	1
Siae	0.198296384234519	0.824758926774123
Vsig2	-0.0906469361644118	1
Esam	-0.159085638905501	1
Spa17	0.078953540101957	1
Fam50a	0.0165063782433218	1
Emd	-0.120293056772213	1
Taco1	-0.186198565931453	1
Grik3	0.32608468443093	1
Gria3	0.103879318487701	1
Npas1	-0.759045508777247	0.969829463038754
Sipa1l2	0.0883698684137451	1
Ap4e1	0.238095171950279	0.763191965818667
Blvra	0.0796987569681706	1
Pdzd4	0.0225593552295746	1
Srpk3	-0.319117500880811	0.874699120022449
Idh3g	-0.265097327406369	0.644182085395689
Pnck	-0.291798634310984	1
Ssr4	0.00940545732800617	1
Bcap31	-0.0111367727683039	1
Fam98a	-0.206209199275031	0.653276604901539
Ltbp2	0.213420525619422	1
Kmt2a	-0.0668532697991852	1
Ift46	-0.0354730175359077	1
Tmem25	-0.334270093875241	1
Cd3g	-0.0387101358232743	1
Trappc6a	0.493020847695978	0.630944747841753
Supt6	-0.00311840642264953	1
Spag5	0.131383869862987	1
Foxn1	-0.758133503767101	0.99143649905134
Unc119	0.0420379505721381	1
Rab34	-0.0512827071600204	1
Sdf2	-0.168971919152047	0.809110990699817
Ccne1	-0.0129258483885269	1
Hsf2bp	0.275649253716973	1
Bbc3	0.22843180510066	1
Mybpc3	-0.00597562517545157	1
Psmc3	-0.216796105423302	0.630759949173857
Acp2	0.0147611833320821	1
Rapsn	-0.208792803189556	1
