ID	cultured.cells.from.synovial.membrane..inflammatoryvscultured.cells.from.synovial.membrane.normal.reactive_logFC	cultured.cells.from.synovial.membrane..inflammatoryvscultured.cells.from.synovial.membrane.normal.reactive_padjFilter
ABCB8	-0.0190123940300797	NA
ABCB9	-0.0227935172017366	NA
ABCB9	0.00642002620793125	0.895604895557712
ABCB9	-0.0833159134763344	0.432622307670615
ABCC1	0.00378236671770615	NA
ABCC1	-0.0237143574918592	0.76935202358244
ABCC10	0.010569179163646	0.887092019543172
ABCC11	-0.0250644310157133	NA
ABCC11	0.0228694789469239	NA
ABCC11	0.0323692435311314	NA
ABCC12	0.0175889400277365	NA
ABCC13	0.0264915764028748	NA
ABCC13	0.00845273821008075	NA
ABCC13	-0.0133407719575223	NA
ABCC2	-0.157134710815155	NA
ABCC3	0.0208927930111784	NA
ABCC3	0.234366866257497	0.227291703735425
ABCC4	-0.36539677035333	0.0844523277761909
ABCC4	-0.381727447325558	0.0779195455404277
ABCC5	0.0204715406193996	NA
ABCC5	0.110660951499845	0.410653340721228
ABCC5	0.158634811452572	0.320795421831753
ABCC6	0.154761047206993	NA
ABCC6	0.0466390670569483	NA
ABCC6	0.042909642361149	NA
ABCC6	0.0104505578739369	NA
ABCC6	0.0306906144024168	NA
ABCC6	0.0518552197823352	NA
ABCC6P1	0.00238600341608919	NA
ABCC6P2	0.0648597119062151	0.0655948481013068
ABCC8	0.0209660131921527	NA
ABCC9	0.083090822285822	0.291251333756711
ABCC9	0.177355543518742	0.0505213218491221
ABCC9	0.236069992294539	0.063407278394857
ABCD1	-0.0183204469136324	NA
ABCD2	-0.0144109685058362	NA
ABCD2	-0.01605710735328	NA
ABCD3	-0.0732486484629691	0.385488802471354
ABCD4	-0.00501461295942729	NA
ABCD4	-0.0315338795490909	NA
ABCD4	0.0109600670171188	NA
ABCD4	-0.0226898133742282	NA
ABCE1	-0.154004518838164	0.250618842457704
ABCE1	-0.0254113573733363	0.872925813247456
ABCF1	-0.2000841416715	0.066658335673383
ABCF1	-0.117745825691005	0.0995922738344071
ABCF2	0.0199570762102228	NA
ABCF2	-0.119441624815229	0.249820315908412
ABCF2	-0.0365332858826264	0.655512776636688
ABCF3	0.0115598375940342	0.877953005050046
ABCG1	-0.00993333167560984	NA
ABCG1	-0.0254280414100814	NA
ABCG1	-0.00592310273573204	0.924686681589832
ABCG1	0.0636348591524154	NA
ABCG1	0.213825373760636	NA
ABCG1	-0.0240143492138332	NA
ABCG2	-0.0138660753402329	NA
ABCG4	0.0261292591058311	NA
ABCG5	-0.0131630447378228	NA
ABCG8	-0.008835199014257	NA
ABHD1	0.0199846131338779	NA
ABHD10	0.0265730708964345	0.805007006575653
ABHD11	-0.104183390702037	0.204294725835321
ABHD11	-0.00581854741155219	NA
ABHD11	-0.0927406825972446	0.305154553511517
ABHD12	0.0339756107377003	0.714248139140485
ABHD12	-0.0396595401408941	0.698479662249337
ABHD12	0.0065037390736542	0.950707676255595
ABHD12B	0.01121648884107	NA
ABHD12B	0.00706396416698851	NA
ABHD12B	0.00521108100189149	NA
ABHD13	-0.0160555708760084	NA
ABHD13	0.00375767006731564	NA
ABHD14A	0.146114962410374	0.406382940623519
ABHD14B	0.0561501581853081	0.636194144679301
ABHD15	-0.0399904504007607	0.431474452009444
ABHD2	-0.0573506350720248	0.331089568304258
ABHD2	0.0117743922720992	NA
ABHD2	-0.0406876943625019	0.695170232861857
ABHD3	0.0320865064497537	0.762082201102204
ABHD4	-0.0653881661937223	0.260457845428613
ABHD5	0.0305958664805459	0.870133226876799
ABHD6	0.330942131288309	0.0619002454220586
ABHD7	-0.00839850520259855	NA
ABHD8	0.104264761063062	0.190817176236031
ABHD9	0.020062523673734	NA
ABI1	0.000279289809926198	NA
ABI1	0.0610775578297886	0.463229062025244
ABI2	0.0178463986857196	0.800534404126835
ABI2	-0.145254816844632	0.17065534042926
ABI2	-0.0242378355195765	0.682617945566068
ABI2	-0.00236228924838588	NA
ABI3	0.0316244785237831	NA
ABI3BP	-0.224909008544284	0.40455387657922
ABL1	0.395441007523788	0.101666792019607
ABL1	0.00168793812152845	NA
ABL1	0.0754588285342246	0.288571572489025
ABL2	-0.0349784257843506	0.316979300065954
ABL2	0.0324817472079681	0.805372800553239
ABL2	-0.0113863604160942	0.829008093053761
ABLIM1	0.53161920921738	0.0981303430267873
